ensembl_gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	hgnc_symbol	description	chromosome_name	start_position	end_position	gene_biotype	entrezgene_id	TPM_L438P_1	TPM_L438P_2	TPM_Control_1	TPM_Control_2	TPM_Control_3	TPM_Control_4	TPM_Control_5	TPM_Control_6
ENSG00000001561	0.500498381963946	5.16692281802726	1.40458575001816	0.196930898517857	0.820111711728151	-6.05489875673273	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	6	46129964	46146699	protein_coding	22875	5.0358976439411	4.15838332258572	3.87208141738045	4.35661803236048	3.24041355891332	3.34142349881634	3.03649436631964	4.46303477110639
ENSG00000001617	-1.61404731564768	-1.51454843744034	-1.8802710810195	0.0955809252212565	0.820111711728151	-4.13960636115543	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	3	50155012	50189075	protein_coding	6405	0.263250793861231	0.360276616460147	0.382962677587263	0.646292632134039	0.131086329956898	0.105548014951123	0.238294058395107	0.287323348819247
ENSG00000001629	0.315571359808902	6.9540863485863	2.58307984941588	0.0315393345527852	0.820111711728151	-4.3594043132677	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]	7	92245973	92402070	protein_coding	54467	5.63012250239137	5.43159845775674	5.27791394939363	5.25436920906457	4.56739795812201	5.00247399306654	4.76800097173439	5.0865769667301
ENSG00000001630	0.000624908331338325	7.19399553381781	0.00404257304239849	0.996870111817817	0.998783260647023	-7.07447490840924	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	7	92084987	92134803	protein_coding	1595	6.36487779960691	6.46557455080988	6.46204271279815	6.31075052860417	5.35064872211113	6.02426464170592	6.5154232558062	6.27640889530009
ENSG00000001631	0.04879761748193	5.71751294724204	0.40810080096388	0.693538982303062	0.931811956680694	-6.9667780599738	KRIT1	KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]	7	92197498	92246166	protein_coding	889	5.41023834692722	5.36568315992921	5.27209237254482	5.34983030617426	4.5913890776555	5.00029594754778	4.98135652743602	5.23782574893935
ENSG00000002016	0.169195323955938	3.73458759889192	0.649146960963316	0.53381418139219	0.887971693153234	-6.48061105502508	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	12	910870	990053	protein_coding	5893	3.75240457251086	3.82859086315793	3.61849415916728	3.4385696521162	2.43605947151132	4.07871801569098	3.81292183286944	3.86029362140834
ENSG00000002330	0.0110028058966574	4.15460410750255	0.0836967717316999	0.935283771891793	0.988622081390957	-6.78435972611342	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	11	64269828	64291946	protein_coding	572	5.00642163970392	5.03484794461188	4.94692465664206	5.1004740878691	4.95570648679722	4.89706172365543	4.66593845409986	4.96167212722328
ENSG00000002549	-0.135300802047729	7.84144046172567	-0.721801237434865	0.490275514512748	0.877378930230026	-6.77206571039437	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	4	17577198	17607975	protein_coding	51056	7.39485861183576	7.3790712786298	7.93896977467146	7.43711383349644	7.01823135293203	6.77577798904208	7.56584645025394	7.32943648722023
ENSG00000002586	-0.471690843568431	6.47775003008587	-2.42077870116072	0.0407783459599265	0.820111711728151	-4.61396307366241	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	X	2690988	2741312	protein_coding	4267	6.45231116362143	6.95032197923775	7.07796822385806	6.90651745439769	6.58538059627365	7.0959030641573	7.38519436229749	7.16312627647561
ENSG00000002587	1.12151146624983	0.332054489735879	1.28984664041795	0.232069393401094	0.820739647893516	-5.24332925041797	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	4	11393150	11429564	protein_coding	9957	0.428797379150933	1.42771879513632	1.48473571378512	0.233445124065587	0.366472736319467	0.0216417549959313	0.184643382526993	0.324690805804664
ENSG00000002726	3.72508296507456	-1.9004947550204	3.44887889201656	0.0082507692245467	0.804787980310085	-2.24064937712637	AOC1	amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	7	150824627	150861504	protein_coding	26	2.01379774789024	0.585014436807784	0.154922748737516	0.217285320418961	0	0.112007472878064	0.0261782388555167	0.446303877746275
ENSG00000002745	0.338992568246241	-0.939259272176116	0.67028770211103	0.520908966847623	0.884061125480465	-5.49891977975719	WNT16	Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]	7	121325367	121341104	protein_coding	51384	0.491170700513364	0.431874306369258	0.456692621219538	0.388091425045537	0.0604375850949845	0.532432669558272	0.405990182021301	0.311151989824054
ENSG00000002822	-0.0471237575731971	5.487789596728	-0.275766708563908	0.789478183146289	0.956895499957735	-6.98840536373192	MAD1L1	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	7	1815787	2233243	protein_coding	8379	4.92848961877994	6.01045474825851	5.28571184717723	5.72362315912631	5.96834838607762	5.51734130599201	4.93741497135936	5.49819708464162
ENSG00000002834	0.332301879345309	7.98976059339482	2.94629945169012	0.0178259226926969	0.820111711728151	-3.74371969154276	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	17	38869185	38921771	protein_coding	3927	6.80765139118711	6.80855850345471	6.56637699821916	6.57261230182323	5.87680044818782	6.0421408601753	6.30245439323284	6.42842833162973
ENSG00000002919	0.250288843564887	6.19349776439201	1.26650128511035	0.239764498161389	0.822989689512482	-6.26155863356191	SNX11	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]	17	48103357	48123601	protein_coding	29916	6.32540850683787	5.90920539322554	5.80723579174864	5.51526289568403	5.69802176145844	5.86868829611083	5.19028547571751	5.83213938971098
ENSG00000002933	4.02719747556329	-2.04423185313373	2.66299872130996	0.0280313181560329	0.820111711728151	-3.26270722514248	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	7	150799598	150805122	protein_coding	55365	3.221153232552	1.90962604349939	0	0.604708057066292	0	0.153475910120317	0	3.28527629198405
ENSG00000003056	0.230254312751621	7.6582316467408	2.16711030276633	0.0609319035682129	0.820111711728151	-4.98896178024533	M6PR	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]	12	8940358	8951856	protein_coding	4074	7.6964303404219	7.49941506271749	7.54678447141432	7.33534508105187	7.10650598001909	7.30046142764007	7.02502317833819	7.204573579712
ENSG00000003096	-1.3281406789713	0.599803563927881	-0.881087598373814	0.403395760087669	0.861891490986648	-5.37663137257174	KLHL13	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]	X	117897794	118117340	protein_coding	90293	0.0419031901008455	1.71265300291412	0.474364393460266	0.741643874238305	1.85644754084019	1.37476797055908	1.51461868914028	0.4330085649363
ENSG00000003147	-0.640359797317155	1.21567785118858	-1.01536479240791	0.338651434141346	0.842392921197935	-5.53354339659488	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	7	8113181	8262687	protein_coding	3382	2.89362606584819	1.34833611276034	2.95799443668994	1.50543214072428	0.885224483042656	1.82891505640905	2.02954582309858	2.73349643365399
ENSG00000003249	0.514302396424473	4.18359565650434	0.783392327344962	0.455540315916945	0.871025209318971	-6.57433728746634	DBNDD1	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	16	90004871	90019890	protein_coding	79007	4.90705481304747	3.89669616546763	5.26794854755437	3.35670105626239	2.59498033801337	3.490592335457	2.12958669289806	4.3872559616636
ENSG00000003393	0.0515505941221264	4.64567114424791	0.293272114674317	0.776523242235112	0.952977340854617	-6.87335802108954	ALS2	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]	2	201700267	201782112	protein_coding	57679	3.45295593164227	3.23132764335606	2.99649106930929	3.43063693721706	3.15098072611281	2.98496095823996	2.62474662816697	3.23352964211099
ENSG00000003400	-0.171065526481391	4.32258673719953	-0.361674824950423	0.726763305324578	0.941875163075504	-6.7907920224513	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	2	201182693	201229428	protein_coding	843	3.53371707799265	3.6026714915914	4.26978153743351	3.58783912999604	1.71473084107691	3.41699980734227	2.82795962973277	3.64212911608619
ENSG00000003402	0.266517171408758	8.21144460949697	0.882237378414959	0.402581145690754	0.861818936710485	-6.60863988412853	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	2	201116154	201176687	protein_coding	8837	8.49865243224155	7.12769160948034	7.57597338166339	7.70126701909016	6.89652324485392	7.17551976082792	6.78999026637462	7.51875970858445
ENSG00000003436	-0.171436244765463	1.94366314193168	-0.549690154924059	0.59702801371817	0.908387679550721	-6.05582652788587	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	2	187463823	187565846	protein_coding	7035	1.02878200473294	1.03885755002036	1.24400412747795	1.22297020803527	0.804933285091061	1.2855957489697	0.7496398111632	0.957484511145115
ENSG00000003509	0.0187016295180067	4.59561558139346	0.131507234911606	0.89851034247212	0.982363467365133	-6.88933293649626	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	2	37231631	37253403	protein_coding	55471	4.48078302899571	4.64956464771381	4.21593263765071	4.75706166095274	4.08170204541976	4.47939536469488	4.44270700714191	4.43039226666192
ENSG00000003756	0.105994826416149	7.68572287013931	0.790848341727342	0.451066472221722	0.870220393110905	-6.72062003827367	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	3	50088919	50119021	protein_coding	10181	7.3681564007078	7.42569863747301	7.35231939899127	7.25527244258708	6.84761187351098	7.52283413671153	6.81550050001707	7.27059930942339
ENSG00000003987	-0.577383111089394	1.38562624036175	-1.92544577401993	0.0890830396400111	0.820111711728151	-4.45231920852543	MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]	8	17296794	17413528	protein_coding	9108	0.710141001584726	0.885534538410586	0.985348866501139	1.02779172617525	1.39689435281385	0.985619192735521	0.902643982459982	1.02462747804387
ENSG00000003989	-0.550009611607495	-1.37030987314998	-0.633016798439528	0.543788830282201	0.892482058198052	-5.40225872074772	SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	8	17496975	17570573	protein_coding	6542	0.134005340975899	0.0826630815596631	0.0838410380981288	0.216392779030322	0.0579908566005424	0.0567125328280833	0.0404071266892444	0.391417999963064
ENSG00000004059	-0.240683900691728	6.15380345793092	-2.1430112460123	0.0632953704197978	0.820111711728151	-5.04004348093347	ARF5	ARF GTPase 5 [Source:HGNC Symbol;Acc:HGNC:658]	7	127588370	127591700	protein_coding	381	6.48856827033723	6.48931096125047	6.68225101451673	6.58975965257446	6.37446467231741	6.8054759670185	6.54888881405679	6.74435073290587
ENSG00000004139	-0.021540346501002	5.34075971327176	-0.151086205962293	0.883520326268939	0.979452358519049	-7.00202790188137	SARM1	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]	17	28364356	28404049	protein_coding	23098	3.96886867574546	3.78200684005518	3.6821815592056	3.82176163691179	3.76795199246169	4.03188733319427	3.89576735023994	3.54696432475365
ENSG00000004142	-0.0955651322081552	6.82428235223051	-0.855215974949759	0.416466130760912	0.865260713219303	-6.69000389233763	POLDIP2	DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]	17	28346173	28357584	protein_coding	26073	6.01513637763843	6.08044893921729	6.12720360542964	6.10488132115244	5.83823848494518	5.82710908464694	6.33447422498695	6.06909972943235
ENSG00000004399	-0.140888649238403	0.661390133594258	-0.369967821685787	0.720681640117021	0.940234867613819	-5.90396890778688	PLXND1	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]	3	129555213	129606681	protein_coding	23129	0.702668180734485	0.892171836198622	1.13617563338905	0.73706975298807	1.53162749312512	1.12852437211935	0.632769813857007	0.854334830202014
ENSG00000004455	-0.00756539098688158	7.93872271578101	-0.0771535119609353	0.94033145615504	0.989792959269541	-7.04408911204232	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	1	33007986	33080996	protein_coding	204	7.95011691855146	7.67954569489457	7.67023315703624	7.67410349993829	7.26388329853648	7.32910041249841	7.76281007606428	7.75039031214742
ENSG00000004468	0.525247298923249	5.27443803976343	0.535900954027485	0.606328315260477	0.91255142655329	-6.90643238152621	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	4	15778275	15853232	protein_coding	952	6.28912895053696	4.17686719152977	6.77840306949387	5.01188336469622	1.69648976559319	2.73404536703233	2.7048708580947	4.60276400099669
ENSG00000004478	-0.209304494777595	6.9306689739449	-1.02718400096965	0.333374324681103	0.841264371245942	-6.52725084162901	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	12	2794290	2805423	protein_coding	2288	6.01442079752252	5.67108108591763	5.78069395290375	5.75268755919282	5.64009132983639	5.96290477134543	6.3851694128255	5.90727951780886
ENSG00000004487	0.0195291810310927	6.81875750771192	0.154880963541501	0.880620521199142	0.978876968649837	-7.06650513534672	KDM1A	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]	1	23019395	23083693	protein_coding	23028	5.72131482473133	5.96375715575154	5.69047676890343	5.78848586471889	5.70707835216304	5.46301527776004	5.84105351023587	5.89759139832921
ENSG00000004534	0.0438063007831717	7.43666297159985	0.304561897931872	0.768206969018648	0.951417126875642	-7.01437146106926	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]	3	49940007	50100045	protein_coding	10180	6.60434060259984	6.44348029410067	6.41925698226026	6.53957354958242	5.52788722049048	6.47739139890627	6.17095954370375	6.55823429124897
ENSG00000004660	-0.533113218043789	1.95818861290953	-1.50333022672501	0.16986155393916	0.820111711728151	-5.09551236177335	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	17	3860315	3894891	protein_coding	84254	1.22659237631469	0.844708626264188	1.43036556916849	1.10189745086582	1.47127956097181	1.55972282170131	1.19633131948159	1.13106722770802
ENSG00000004700	0.00725368578134944	6.51704733331493	0.0458771159040064	0.964494331310888	0.992950563092532	-7.07836875534915	RECQL	RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]	12	21468910	21501669	protein_coding	5965	5.6284408739271	5.58684789254579	5.48652466096013	5.53845252434929	5.05144680145734	4.77146464304738	5.87915710461987	5.29390282491467
ENSG00000004766	0.049847693124299	4.57349116624951	0.512246834265853	0.621845886994615	0.917311910651836	-6.75962511914484	VPS50	VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]	7	93232340	93361123	protein_coding	55610	4.22504328096891	4.17391638150442	3.98402674454396	4.09464618292604	3.44690066619815	3.6985005431	3.62517157836623	3.95929378322857
ENSG00000004776	-0.740182761102177	-1.45965323211806	-0.786479879054077	0.453483336422314	0.870654551915726	-5.19350068237272	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	19	35754566	35758079	protein_coding	126393	0.357032822497103	0.413544258747139	1.07420398710478	0.205102193017671	0.226969625300157	0.571901023029641	1.2720990555011	0.330453994464813
ENSG00000004777	-0.121598928965986	4.18907921398857	-0.377227871184838	0.715480137811775	0.93860899260736	-6.66572183100429	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]	19	35774532	35788822	protein_coding	115703	3.68639048597459	4.06126036349983	3.19779227995525	4.09931952962085	4.69225583439831	4.55068208963985	4.00069394972665	4.24515685439162
ENSG00000004779	0.0467779592044835	5.69572566093783	0.332810916157367	0.747539008803224	0.946484404242078	-6.9920454113972	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	16	23581014	23596319	protein_coding	4706	7.37271402836626	7.37734825888595	7.27938027929453	7.1402056861764	7.07429768291039	6.75141966730499	7.53966237891126	7.35571056683622
ENSG00000004838	0.363895122086979	-0.513180522768159	0.85977880417193	0.414085617061953	0.864606214052867	-5.41029858883878	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	3	50341110	50345732	protein_coding	51364	0.853214025553509	1.07608359095892	0.753836409908729	0.936583292212603	0.72983464759269	0.752440326894191	1.06569706864668	1.06205814348446
ENSG00000004864	0.160741593162043	4.60532326525711	0.904191074027243	0.391416224932134	0.85653654293277	-6.48997158890737	SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	7	96120218	96322147	protein_coding	10165	4.31759545812095	4.54396857937045	4.20623865945291	3.95473996435561	3.56155135283925	3.84451189836057	4.04855784357897	4.5122545136698
ENSG00000004866	0.477033820845291	6.2308088583863	2.21604873005879	0.0563959587662493	0.820111711728151	-4.93479549964927	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]	7	116952980	117230812	protein_coding	7982	6.08381645042491	6.23377549858088	5.37228884189237	5.35985295634936	5.74394771703803	5.8304281451118	6.01606725400549	5.26885676470827
ENSG00000004897	0.0489550248732931	6.91347900318834	0.325742760920765	0.752690871570959	0.948436136380565	-7.02013642857604	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	17	47117703	47189422	protein_coding	996	6.09554359527282	5.99186172652967	5.96235280212872	5.82044822333789	5.25316076415437	5.36684757434348	5.96526059519975	5.75528493661605
ENSG00000004961	-0.185844862855574	4.53648950414003	-1.20642006279309	0.260959019865324	0.827925534732691	-6.12491737225685	HCCS	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]	X	11111299	11123086	protein_coding	3052	4.307976280993	4.51291949202562	4.74706831714144	4.5388254945394	4.13583165223181	4.05862214829409	4.52613030022399	4.25223450840806
ENSG00000004975	0.0903256446351248	5.45592078031769	0.863399189102642	0.412203616853885	0.86411771058833	-6.636871593839	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]	17	7225342	7234524	protein_coding	1856	4.8293706111123	4.97556291946905	4.76616218224835	4.78988691691451	4.60994432710345	4.82053134551709	4.90179046485093	4.64719355067443
ENSG00000005007	0.00546171306981424	6.69592227295008	0.0469686670661075	0.96365023503744	0.992950563092532	-7.07887094462281	UPF1	UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]	19	18831905	18868232	protein_coding	5976	4.8249995108006	4.72217685536186	4.7739674287369	4.88947772848231	4.5157587431872	4.53046470702796	4.91101345171272	4.65415074315892
ENSG00000005020	0.0139735304799142	6.21436701390319	0.0697345259719254	0.946058144284454	0.99065231877376	-7.07467722962399	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	7	26667003	26995239	protein_coding	8935	5.10079662690337	5.29603532980355	5.50123368183776	5.0439437970772	4.19241205260402	4.55732651363633	4.71947222444523	5.23676708700671
ENSG00000005022	-0.27102219311873	8.07621126648736	-1.42928468579643	0.189508675127377	0.820111711728151	-6.03277831152857	SLC25A5	solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]	X	119468395	119471396	protein_coding	292	8.06758823822827	8.47528561944645	8.50899304171979	8.36548505526501	8.40130687593523	8.02889581558089	8.95504497622645	8.3664084848298
ENSG00000005059	-0.104699216297185	5.21148207010623	-0.730810309213191	0.48503828295279	0.875718409567979	-6.71515410569104	MCUB	mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]	4	109560209	109688719	protein_coding	55013	5.57315357260991	5.77390802588693	5.8675802222025	5.73131232332617	4.68851424397096	5.52841963414149	5.74904484824879	5.49840285318962
ENSG00000005075	-0.109697903905924	4.97318356519971	-0.831188991733	0.429159470574378	0.865379876397006	-6.58589394096668	POLR2J	RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]	7	102473128	102478929	protein_coding	5439	5.46152937799516	5.66457402991764	5.55281195374985	5.59163651598499	5.35203395938896	5.69143235194567	5.91391049861676	5.53568614790955
ENSG00000005100	-0.339046111390296	5.76431768129734	-1.98400325246237	0.0812864038081334	0.820111711728151	-5.25296318045582	DHX33	DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]	17	5440917	5468982	protein_coding	56919	3.67041083909673	3.90371635099112	3.87400095299919	3.99585315046042	3.75406931554576	3.79942026902529	4.5204509135549	3.94387839191016
ENSG00000005102	-0.418838194302794	-0.557557666670581	-0.647240072913805	0.534987623616023	0.888732251943139	-5.51908436457247	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]	17	43640389	43661922	protein_coding	4222	0.423492117639438	0.517978095778013	0.290771175221534	0.508422567337832	0.200364986216041	0.482599467692459	0.317114166629178	0.977089383572873
ENSG00000005156	-0.0602800431739734	5.51188228990982	-0.411005584085222	0.69148982108731	0.931626613661645	-6.94010472061622	LIG3	DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]	17	34980462	35009743	protein_coding	3980	4.44773615217327	4.07034656165454	4.22360279832252	4.20426461479378	4.28326189208406	4.15283654103649	4.10092005647609	4.06987665069647
ENSG00000005175	-0.154915389835341	5.43830102713793	-1.1490562821528	0.282608611443021	0.833901300452682	-6.34158442717508	RPAP3	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]	12	47661249	47706038	protein_coding	79657	4.86842853258876	4.71237061001156	4.99451523593527	4.81310623679493	4.63460174802937	4.35762554500312	5.07063864355316	4.63075701566633
ENSG00000005187	0.355423984034426	3.62644483539274	0.814303907694068	0.438332365757933	0.866173357396682	-6.36970509921709	ACSM3	acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]	16	20610243	20797843	protein_coding	6296	3.78264675770015	3.99118866692962	4.45790214163424	3.37615936222756	2.78014250988588	2.54948657385563	2.93222883331206	3.88327085187456
ENSG00000005189	-0.229154078846086	3.62989611640003	-1.05989356391635	0.319099345020834	0.839113410806015	-6.03055922390647	REXO5	RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]	16	20806157	20849668	protein_coding	81691	3.29928569282925	2.86374621039263	2.97256620589128	3.2600842360217	3.33330693939919	3.0210246381528	3.25236872707988	3.49209493586735
ENSG00000005194	-0.191268458151849	5.15640855063804	-1.21312217623807	0.25852059848231	0.826576277113059	-6.2282473213525	CIAPIN1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]	16	57428177	57447420	protein_coding	57019	4.71757153086901	5.15196505087862	5.0506298103915	5.02996741120932	4.8881162160054	4.83640282206225	5.30116417687577	4.87641979773531
