L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6
ENSG00000163683	2593.512	2381.992	3090.521	3863.635	3234.335	3623.801	2048.064	4818.246
ENSG00000163684	589.306	711.761	726.127	826.446	504.053	592.529	929.059	846.169
ENSG00000163686	484.335	552.001	428.459	253	144	348.001	247.016	709.008
ENSG00000163687	1680.513	901.174	632.001	306.999	342.999	2131.64	144.999	1554.414
ENSG00000163689	22.001	36.007	64.021	44.001	9	29.011	111.002	184.026
ENSG00000163694	904.161	1006.996	960.001	1627.129	655.986	1053.97	1570.69	1261.001
ENSG00000163697	50	73.001	309.513	495.999	396.164	450.976	867.187	77.028
ENSG00000163701	17.001	21	24	7.999	10	5.002	13	13
ENSG00000163702	38.03	48	90	44.269	52.999	22	44	31.034
ENSG00000163703	729.6	615.01	506.354	771.001	655.276	567.337	399	532.999
ENSG00000163704	477	528.206	559.105	349.001	345.049	465	346	576.023
ENSG00000163705	0	5.561	2.203	4.552	6.734	2.056	6.826	3.08
ENSG00000163710	2	1	2	2	1	127.089	5	10
ENSG00000163714	5305.319	5545.084	6365.572	6643.282	3835.001	5107.345	6486.228	5579.206
ENSG00000163719	1008.999	1410.398	1743.404	1476.483	1118.426	1658.128	1706.224	1043.072
ENSG00000163728	1721.86	1826.774	2235.136	2288.186	1235.495	2282.527	1224.282	1975.995
ENSG00000163734	0	2	3	1	0	1	2	2
ENSG00000163735	1	0	0	0	0	0	1	0
ENSG00000163736	0	0	0	1	0	0	0	0
ENSG00000163737	0	0	0	0	0	0	0	0
ENSG00000163738	231.001	293	334.001	318	369.999	379.001	404	297.001
ENSG00000163739	0	0	0	1	0	0	0	0
ENSG00000163743	635.999	744.162	799.002	765.555	582	471.001	786.303	733.377
ENSG00000163746	5	4	6	5	2	4	2	1
ENSG00000163749	3.452	5.166	3.391	8.16	1.005	1.147	5.078	5.197
ENSG00000163751	0	0	1	0	0	1	0	0
ENSG00000163754	427	640.001	1122.998	694.655	304.279	445.318	589.359	677.103
ENSG00000163755	1020.968	1205.308	1594.738	1216.44	669.889	840.82	1136.114	1055.082
ENSG00000163762	0	0	0	4	0	0	0	2
ENSG00000163781	2744.424	2898.575	3263.477	3662.86	2476.627	2502.549	4933.163	2648.764
ENSG00000163785	597.957	899.972	818.224	731.078	508.968	396.872	707.956	791.931
ENSG00000163788	567.001	954.004	803.058	834	445	559	726.11	515
ENSG00000163792	9.015	6.511	5.314	4.228	4.017	9.039	3.744	2.549
ENSG00000163793	2	0	2	2.024	2	0	1	2
ENSG00000163794	13	27	25	24	31	50	16	25
ENSG00000163795	344.454	366.858	453.227	421.082	386.106	454.566	292.245	411.74
ENSG00000163798	975.996	992.16	1234.984	1217.15	681.025	813.199	1070.987	924.009
ENSG00000163803	6	15	3	5	12	25	19	2
ENSG00000163806	17.135	30.991	35.297	38.239	17.252	32.285	29.701	30.284
ENSG00000163807	932.703	957.433	1193.844	1289.853	1052.217	989.919	1471.641	1098.994
ENSG00000163808	857.436	1062	1156.134	1401	722.661	875.305	1814.115	1184
ENSG00000163810	2	1	1	4	2	2	5	1
ENSG00000163811	1669.45	2372.199	2517.919	2713.005	2263.376	1683.948	3660.324	2576.003
ENSG00000163812	966.242	1298.421	1664.531	1286.444	787.109	980.278	1663.675	1178.918
ENSG00000163814	121.76	873	286.569	518.677	2.004	14	53.188	508.307
ENSG00000163815	6	3	16	2.002	5.034	1	5	5.01
ENSG00000163817	3	3.149	123	5.032	2.009	1.01	1	6.06
ENSG00000163818	125.13	98.001	580.028	126	260.044	174.11	150	159
ENSG00000163820	739	836.23	832.027	821	840	718	605	611.264
ENSG00000163823	99	907.194	714.008	158	47	31	158	67
ENSG00000163825	0	1	0	0	0	1	0	0
ENSG00000163827	3.189	11.301	25.203	7.087	3.124	4.043	4.016	4.052
ENSG00000163832	532.375	655.821	737.124	724.201	595.778	586.811	908.67	663.552
ENSG00000163833	6.221	10.192	11.125	24.072	27.481	28.011	14.223	22.234
ENSG00000163840	3037.712	3857.896	6136.882	3984.504	1229.142	1922.397	2623.99	2767.136
ENSG00000163848	2112.05	1924.65	1837.001	2242.581	1240.485	1242.112	1975.391	1480.043
ENSG00000163864	172.737	230.79	238.103	236.067	232.065	254.848	171.917	220.241
ENSG00000163866	652.489	747.841	906.563	815.749	833.635	723.935	875.992	779.681
ENSG00000163867	970.091	1100.535	1132.404	1318.265	792.568	1284.88	876.27	912.654
ENSG00000163870	523.001	711.116	833.001	746	456.999	703.991	1137.001	683.001
ENSG00000163872	3687.2	3339.844	3220.797	3592.188	1226.711	2651.391	3146.456	2905.945
ENSG00000163873	0	2	0	2	0	0	1	7
ENSG00000163874	1063.999	1112.758	982.727	1004.003	963.074	776	659.178	1044.025
ENSG00000163875	948	1299	1561.001	1288.625	1040.237	1229.001	1223.287	1435.015
ENSG00000163877	516.602	562.045	607.644	696.076	437.381	418.141	564.611	512.598
ENSG00000163879	4	13.006	6	12	9	3	4	2
ENSG00000163882	753.621	1011.485	1129.972	1197.204	976.722	1123.737	1617.87	1144.114
ENSG00000163884	3	4	5	7	1	2	2	16
ENSG00000163885	1	4	1	5	4	0	3	3
ENSG00000163888	1.009	1.005	2.016	1.017	8.13	11.541	5.025	18.677
ENSG00000163898	707.16	869.208	1158.444	422.583	77.139	702.219	263.188	341.233
ENSG00000163900	624.061	698.581	839.153	824.118	605.502	659.841	978.311	542.433
ENSG00000163902	4337.622	4878.355	5057.445	6883.039	3543.518	3914.227	5040.834	3819.594
ENSG00000163904	836.906	1026.608	1054.528	1325.076	1005.844	794.477	1333.469	1069.981
ENSG00000163909	20	1	7	8	7	10	4	4
ENSG00000163913	504.555	395.78	370.082	512.269	355.81	377.328	697.764	428.641
ENSG00000163914	0	0	0	0	0	0	0	0
ENSG00000163918	665	1048.282	1082	1121.008	779.984	790.002	1864.022	951.001
ENSG00000163923	169.299	265.744	300.11	235.46	138.102	125.479	421.061	235.432
ENSG00000163930	1743.561	1973.403	2233.273	2242.499	1740.999	1844.018	2471.139	1935.835
ENSG00000163931	5269.111	6809.297	7436.247	6616.622	5229.041	6417.158	10970.869	5829.959
ENSG00000163932	3247	3965.128	3560.983	4224.677	2068.481	2899.741	3536.513	3710.713
ENSG00000163933	644.839	658.162	880.26	946.522	481.698	623.709	895.007	781.218
ENSG00000163935	269.642	442.665	527.308	470.131	331.244	414.201	508.615	363.118
ENSG00000163938	3981.943	4226.816	4543.555	5691.261	4301.006	3886.105	6497.41	4297.263
ENSG00000163939	2079.73	2283.999	2464.683	2811.893	1306.779	1476.597	3257.478	2079.263
ENSG00000163945	1332.58	1308.005	1299.098	1749.001	1759.104	1375.208	1224.999	1590.683
ENSG00000163946	4586.203	4059.12	4547.783	4258.174	2745.206	3335.839	3637.306	4240.596
ENSG00000163947	919	785.008	1552.618	832.148	506	1227.999	403.951	912
ENSG00000163950	1322	2069.96	2336.676	2451.892	1971.641	1563.101	4413.935	2247.816
ENSG00000163956	1469.047	1373.233	1524.925	1677.427	1038.11	1088.764	1284.596	1524.402
ENSG00000163958	2	3	6	1	0	0	4	2
ENSG00000163959	48.531	67.817	41.591	58.217	63.109	66.147	53.662	64.127
ENSG00000163960	5194.831	3904.523	3173.924	4514.724	3784.294	4470.96	3822.702	3655.108
ENSG00000163961	2062.278	2035.206	1384.492	1862.613	2612.212	2416.582	2630.295	1442.504
ENSG00000163964	735.673	731.541	872.424	735.378	592.678	547.653	817.371	676.296
ENSG00000163975	662.017	1198.297	1205.041	1331.145	1190.434	1653.727	1605.623	1579.571
ENSG00000163982	0	0	0	1	0	0	0	0
ENSG00000163993	0	0	0	3	1	1	1	3
ENSG00000163995	2	4	4	6	6	2	2	5
ENSG00000164002	142.001	202.999	214.361	287	252	257	287.043	231.22
ENSG00000164007	0	1	2.007	3.02	0	1.002	1.004	0
ENSG00000164008	332.794	370.3	313.999	370.735	362.564	332.219	281.58	233.97
ENSG00000164010	202.016	295	332.028	350.263	269.001	248.001	330.004	204.999
ENSG00000164011	189	284	287	267.287	126.999	261.008	295	241
ENSG00000164022	1359.864	1614.1	1760.668	1756.775	1368.202	1294.581	1672.657	1403.57
ENSG00000164023	33	104	76	42	2	3	26	125
ENSG00000164024	1207.18	1800.233	2177.866	1719.632	1125	1187.233	2228.701	1713.744
ENSG00000164031	2199.047	2139.808	2535.288	2376.135	1585.239	2022.097	1948.22	2578.652
ENSG00000164032	5104.232	7078.07	8493.558	8497.579	4896.603	5453.994	14420.961	7773.037
ENSG00000164035	1.004	3.012	2.015	5	2	3	0	2
ENSG00000164037	31.027	32.068	49.044	43.108	23.056	35.147	10	26.067
ENSG00000164038	622.999	675.002	834.046	586.285	466.999	670.001	780	614.364
ENSG00000164039	440	620.651	685	505.549	407	527.978	395.162	504.219
ENSG00000164040	1095.215	1221.658	1346.041	1633.401	711	960	1470.244	1152.039
ENSG00000164045	530	636	733.253	900.346	561.001	429.002	1733.922	683
ENSG00000164047	37	71	23	78	25	163	27	56
ENSG00000164048	1596.567	2028.703	1354.852	1420.936	1660.154	2566.799	1912.444	2333.836
ENSG00000164049	3	2	3	2	4	1	4	11
ENSG00000164050	273	320.058	410.991	569.001	183.999	625.999	245	1485.233
ENSG00000164051	321.229	485.164	481.129	511.243	270.268	335	618.187	452.044
ENSG00000164053	349.976	411.922	497.769	509.514	339.696	422.504	828.017	493.793
ENSG00000164054	1883.961	2852.346	3773.099	2638.004	1442.541	2031.789	2583.981	2224.86
ENSG00000164056	78	95.001	187	126	72	23	49	157.22
ENSG00000164061	13	18	25	23	21	20	20	19
ENSG00000164062	1783.327	2317.4	2843.353	2590.208	2307.845	1882.473	3450.615	2310.984
ENSG00000164066	37.059	77.3	115.389	42.307	23.072	25.103	27.046	53.144
ENSG00000164068	491.051	689.685	668.56	682.688	553.962	711.922	743.682	618.639
ENSG00000164070	1416.716	1714.347	1695.649	1563.791	1044.448	791.669	1561.618	1032.347
ENSG00000164073	404.147	595.814	590.459	663.54	381.057	595.428	479.647	510.891
ENSG00000164074	612.385	750.473	783.606	839.04	375.157	553.849	736.207	596.787
ENSG00000164076	0	0	0	2	2	1	0	0
ENSG00000164077	128.886	228.001	216.999	239.001	119	163	248.553	171
ENSG00000164078	27	39.001	32.999	92.001	22	110.015	136.329	93.999
ENSG00000164080	1273.004	1284.999	1173.138	1372.952	824.351	1085.002	1436.226	939.968
ENSG00000164081	430.999	793.024	833	795.048	610.048	786.102	997.035	676.001
ENSG00000164082	3	2	1	7	8	4	4	3
ENSG00000164086	442.045	649.979	927.168	592.632	434.121	321.093	756	814.338
ENSG00000164087	326.862	361	412	498.001	275	366	682.255	403.001
ENSG00000164088	809.999	701.897	742.001	1138.03	736	936	680.999	594.999
ENSG00000164089	1	0	1	0	0	1	0	1.018
ENSG00000164091	2913.487	3347.17	3859.255	3440.195	1772.992	2268.503	3938.678	2533.217
ENSG00000164093	1	3	2	4	0	1	0	2
ENSG00000164096	1606.596	1482.679	2044.422	1774.037	1787.204	1621.093	1538.333	1501.788
ENSG00000164099	7	7	37.03	14	1	8	20	33
ENSG00000164100	1.278	2.306	4.579	1.635	0	0	4.194	4.721
ENSG00000164104	5647.39	7139.342	9597.513	8931.88	5137.206	8426.515	14491.275	7507.468
ENSG00000164105	837.698	906.908	977.905	986.884	502.927	557.938	1053.951	739.571
ENSG00000164106	13.012	14	12.016	18	15.011	9.084	9.003	12.084
ENSG00000164107	0	1	13	1	0	0	4	0
ENSG00000164109	1298.196	1490.75	1687.995	1713.327	1004.384	1104.015	2627.353	1761.983
ENSG00000164111	4826.544	4493.146	5049.8	5043.678	3298.682	3760.565	4410.686	4847.926
ENSG00000164112	0	1	1	0	0	0	1	0
ENSG00000164113	0	0	0	0	0	0	0	0
ENSG00000164114	282.999	230.001	282	339.01	141	163.999	193.006	258.032
ENSG00000164116	239.18	66.002	607	287.061	302.001	281.001	125.998	88
ENSG00000164117	497.772	546.368	689.753	554.275	234.947	352.551	398.987	598.216
ENSG00000164118	852.08	937.287	1003.641	1001.726	591.054	867.102	931.011	857.784
ENSG00000164120	12.001	3	5	1	0	1	1	1
ENSG00000164122	1	3	1	6	1	0	0	2
ENSG00000164123	5	3	4	1	0	1	0	3
ENSG00000164124	31.146	16.999	31.999	101.056	1	3	73.999	79.002
ENSG00000164125	4	5	49	11	7	1	23	12
ENSG00000164128	0	0	0	2	1	1	0	0
ENSG00000164129	0	0	0	0	0	0	0	0
ENSG00000164134	2238.173	2592.479	3055.826	2803.464	1664.097	1516.666	4040.198	2575.621
ENSG00000164136	412.541	394.087	405.703	492.214	509.243	637.128	308.551	404.578
ENSG00000164142	111	87	40	69	11	7	17	32
ENSG00000164144	397	477.151	559.999	517	176.999	352	495.83	415
ENSG00000164151	2281.764	2017.575	2298.188	2829.002	1622	1505	2511.208	1893.046
ENSG00000164161	5.007	10	14.002	4	4	4.004	5.007	1
ENSG00000164162	296.939	397.061	421.642	355.95	238.781	258.88	333.755	296.226
ENSG00000164163	3799.625	3762.844	4455.568	4314.102	3242.527	2720.175	5525.18	3823.208
ENSG00000164164	1812.976	1355.227	2056.794	1651.816	1575.515	1374.965	1530.468	1384.76
ENSG00000164167	581.009	911.007	1089.055	879.741	684.999	622.828	1218.367	944.075
ENSG00000164168	669.948	798.589	870.412	966.931	449.214	539.424	869.731	758.151
ENSG00000164169	275	319	377.003	411	278	279.999	374.001	354
ENSG00000164171	9	26	16.055	21.041	7	9	15	12
ENSG00000164172	237.001	369.011	504	548	305	324	441.001	338.014
ENSG00000164175	0	1.368	0	0	0	2	2	0
ENSG00000164176	0	1	27	5	2	4	2	12
ENSG00000164180	1154.999	1179.001	1198.002	1358.998	960.996	1172.921	1186.747	1089.154
ENSG00000164181	61	39.016	184	50.484	74.999	26	62.298	23.599
ENSG00000164182	255	416.999	414.22	390.999	287.818	341.422	529.856	275
ENSG00000164185	0	1	3	1	2	1	1	1
ENSG00000164187	908.079	826	900.013	1078.835	371.001	647	854	731
ENSG00000164188	1	1	4	1	3	2	2	1
ENSG00000164190	3691.597	3525.945	3392.738	3678.425	1819	2584.759	2950.23	2532.172
ENSG00000164197	22	30	20	51	1	8	3	223
ENSG00000164199	184.578	43.182	35.837	994.749	562.588	3900.242	673.634	736.949
ENSG00000164209	2951.662	3009	2908.039	3690.001	1835	2661.771	3621.723	2335.704
ENSG00000164211	7358.516	5016.288	5302.616	5668.111	2997.012	4854.688	4263.379	5657.307
ENSG00000164219	700	842.001	845.072	780.001	772.011	723.991	892.829	765
ENSG00000164220	8.425	6	14	12.284	7	11.036	8	5
ENSG00000164221	30	110	55	98	148.999	44.999	170.248	83
ENSG00000164236	4006.409	3815.784	3376.64	3944.466	2848.999	2594.685	4160.576	3476.339
ENSG00000164237	345.562	464	867.044	566	446.976	131.912	538.052	964.638
ENSG00000164241	306.712	319.282	309	401.934	270.579	382	293.001	255
ENSG00000164244	2101.399	2095	2069.132	2724.401	1511.175	1258.455	1664.829	1802.047
ENSG00000164251	3	6	0	1	1	1	1	2
ENSG00000164252	1272	1307.978	1358.137	1456.291	767.993	976	1445.545	1325
ENSG00000164253	1461.335	1434.131	1561.088	1815.658	985.25	915.943	1584.47	1594.01
ENSG00000164256	1	0	0	0	0	1	0	0
ENSG00000164258	720	826.319	810	864	623.999	691	607	739
ENSG00000164265	9	15.254	22	17	7.199	22.237	11.027	41.165
ENSG00000164266	0	0	0	2	0	0	0	0
ENSG00000164270	2	2	2	2	0	0	0	0
ENSG00000164283	0	0	0	0	0	0	0	1
ENSG00000164284	587.001	691.169	746.008	835	586.999	606	905	667
ENSG00000164287	1	2.036	3.031	4.021	5.008	2	0	4
ENSG00000164291	177.553	223.994	202.946	235.256	118.631	216.89	182.249	211.223
ENSG00000164292	1481.334	984.889	815.334	758.182	184.048	945	275.829	1874.305
ENSG00000164294	5.158	6.41	48	7.491	4.087	7.459	18	7
ENSG00000164296	93.459	134.999	169.233	172.858	88.804	89.999	101.895	116
ENSG00000164299	0	0	0	0	0	0	0	0
ENSG00000164300	255.032	241.057	299.051	322.006	85.015	124.031	228.004	279.165
ENSG00000164303	38	19	19	11	12	17	17	12
ENSG00000164304	6	2	4	6	9	3	2.345	2.437
ENSG00000164305	1995.559	2074.758	2605.387	2625.45	1307	1515.048	3384.968	1695.009
ENSG00000164306	248.818	337.015	355.928	406.293	196.005	371.415	514.099	365.706
ENSG00000164307	5141.289	4674.168	4601.7	3880.698	2565.475	1822.492	3737.255	4704.757
ENSG00000164308	3298.46	2851.303	4134.687	4636.252	3213.39	1894	3876.555	984
ENSG00000164309	37	42.001	38	92	38	21	18	41
ENSG00000164318	0	1	0	0	0	1	1	1
ENSG00000164323	2048.155	2197.134	2363	2200.236	1585.623	1382	3005.607	1947.47
ENSG00000164325	0	0	0	0	0	0	0	0
ENSG00000164326	0	0	0	0	0	0	0	0
ENSG00000164327	1814.731	2140.321	2223.587	2012.317	1582.642	2586.376	1142.635	1656.849
ENSG00000164329	2474.64	2421.808	2863.004	2769.063	1438	2141.117	2164.432	2317.191
ENSG00000164330	1058	896.946	1141.321	694.06	620.999	636.04	775.001	1071.035
ENSG00000164331	781.794	715.238	706.999	868.383	437.603	738.813	512.758	759.281
ENSG00000164332	666.986	978	1191.539	965.962	761.005	654.878	1174.544	1020.035
ENSG00000164334	1	0	0	0	0	0	1	1
ENSG00000164338	462.207	691.926	736	691.794	615.397	530.034	853.26	666.732
ENSG00000164342	7	16.007	17.142	6.031	10.076	3.051	24.224	49.084
ENSG00000164344	1	6	9.289	2	3.034	0	5.163	0
ENSG00000164346	3077.594	3962.581	3900.141	3039.576	2662.607	3934.234	3376.441	3206.903
ENSG00000164347	921.078	1144.988	1147.693	1199.046	950.522	893.521	1383.498	1101.036
ENSG00000164362	11.023	32.045	26.134	58.027	8.022	36.14	127.152	46.143
ENSG00000164363	0	0	0	0	1	0	0	1
ENSG00000164366	329.339	462.765	469.295	540.824	186.998	379.327	453.143	339.043
ENSG00000164379	0	0	0	1	0	0	0	0
ENSG00000164393	0	2.066	0	2.058	1	1.009	1.012	3
ENSG00000164398	6.555	2	6.083	5.079	9.187	6.625	4.018	6.336
ENSG00000164399	0	0	0	0	0	0	0	0
ENSG00000164400	0	1	2	11	0	6	0	0
ENSG00000164402	2599.815	2239.579	2219.053	2393.803	2187.358	1964.193	1406.41	2985.051
ENSG00000164403	193.815	203.455	199.837	224.057	252.657	180.087	162.975	209.968
ENSG00000164404	19.001	20	25	37	25.999	50	16.34	47
ENSG00000164405	975	1221.73	1373.44	1448.043	1446.047	1179.372	1859.294	1375.632
ENSG00000164406	58	77.27	95.296	81.064	28.006	98.148	117.488	80.894
ENSG00000164411	3	6	4	6	3	3	2	1
ENSG00000164414	345.425	509.823	580.315	458.703	186.437	535.226	418.572	494.641
ENSG00000164418	3.817	1.216	6	4.81	10.249	5.585	3.315	4.016
ENSG00000164430	727.581	731.793	909.78	812.015	489.119	607.958	1056.044	903.812
ENSG00000164434	1	0	0	0	1	0	0	0
ENSG00000164438	0	0	0	0	7	0	0	0
ENSG00000164440	175	134	89	214	66	184	49	119
ENSG00000164442	244	209	387.001	403	301.708	143	370.245	354
ENSG00000164451	0	0	0	0	0	0	0	0
ENSG00000164458	82	2207.171	437	73	2003	94	235.001	34
ENSG00000164463	1184.407	1490.615	1171.298	1600.974	634.202	1356.684	476.259	875.355
ENSG00000164465	183.035	377.562	351.112	222.047	123.013	271.096	230.067	407.126
ENSG00000164466	3504.23	3484.8	3500.005	3841.775	2948.248	2417.024	4084.369	3153.003
ENSG00000164483	0	23	5	10	11	9	20	3
ENSG00000164484	211.001	860.011	821.026	377	390	275	399.287	240.001
ENSG00000164485	6	2	1	4	1	10	1	2
ENSG00000164488	0	0	1	0	0	1	0	0
ENSG00000164494	434	499	576.86	541.694	365	327.342	585.531	557.854
ENSG00000164500	0	1	0	0	1	1	0	0
ENSG00000164506	520	553.001	572	513	371.999	395	568.054	395.999
ENSG00000164508	0	0	0	0	0	0	0	0
ENSG00000164509	4	9	9.47	5.047	5.038	4	5	4.011
ENSG00000164512	0	0	0	1	1	1	0	3
ENSG00000164520	2.056	2.939	1.001	1.002	2.004	2.019	0	2.006
ENSG00000164530	3	2	2	12	0	3	5	4
ENSG00000164532	0	0	0	0	0	0	0	3
ENSG00000164535	218.53	291.384	287.068	360.484	226.353	276.174	312.254	258.41
ENSG00000164542	11	8	13	23	8	16.999	15	10
ENSG00000164543	2082.332	3036.896	3920.195	2737.117	1689.758	2525.44	2983.604	2562.601
ENSG00000164548	2276.794	3309.384	3472.361	3398.135	2487.015	3743.953	3611.95	2795.847
ENSG00000164556	3	3	4	8	6	5	4	2
ENSG00000164574	3280.462	3389.259	3238.686	2416.538	2375.97	2687.257	1963.74	4524.85
ENSG00000164576	402	484	608.105	563	256	526.999	649.002	460.001
ENSG00000164587	15473.817	20048.42	18742.035	21595.907	28397.504	28171.324	22372.752	20317.559
ENSG00000164588	0	0	0	0	1	3	0	0
ENSG00000164591	2.029	8	8.155	6.046	4.062	11.035	6.115	2.014
ENSG00000164597	1154.148	461.311	525.316	1.041	2.304	211.39	318.698	527.415
ENSG00000164600	0	0	0	1	0	0	0	2
ENSG00000164603	592.427	731	628.694	656	514	432	538	641
ENSG00000164604	1	13.001	11	1	3	1	3	7.001
ENSG00000164609	1466.971	1685.836	1802.162	1916.034	1004.426	1236.969	1352.597	1359.121
ENSG00000164610	188.697	254.072	250.228	256.408	197.388	266.826	274.975	220.122
ENSG00000164611	1466.71	1451.785	1876.7	1777	833.002	1482.001	2293.937	1820.369
ENSG00000164615	755.849	1056.009	1011.179	1018.557	956.288	995.324	1074.828	813.687
ENSG00000164616	0	0	0	1	1	0	0	0
ENSG00000164619	3	4	21	5	2	0	14	6
ENSG00000164620	146.389	405.694	228.801	321.21	189.026	341.102	475.537	124.352
ENSG00000164626	45	69	116	309	32	145	69	88
ENSG00000164627	74.037	66.004	101.01	74.048	46.053	13.003	10.013	114.01
ENSG00000164631	1349	1497.008	1439	1783.23	1112	1645.871	1007.835	1367.535
ENSG00000164638	32.2	47.084	38.612	65.275	32.261	32.445	48.565	32.795
ENSG00000164645	1	0	0	0	0	0	0	0
ENSG00000164647	128.043	573.567	522.612	308.715	7	11.77	70	352.776
ENSG00000164649	1230.512	1044.589	1086.213	1580.902	1419.531	1517.226	1799.711	1253.432
ENSG00000164651	0	4	1	0	0	0	0	2
ENSG00000164654	2046.332	2853.254	2341.331	2292	1736.069	2302.071	2308.878	2288.604
ENSG00000164659	122.001	330	333.999	259.93	303	169	541.137	46
ENSG00000164663	537.937	753.263	651.292	826.169	603.347	646.101	762.238	585.453
ENSG00000164669	1.209	41.215	8.119	6.644	30.599	15.413	3.422	4.468
ENSG00000164674	673.096	876	1057.102	606.761	90	291	307.001	787.288
ENSG00000164675	5.281	11	4.103	5	5.071	2.014	3	1.019
ENSG00000164683	198	454.167	989.057	165	176	165.016	153	344.999
ENSG00000164684	1	2	6	9	3	0	0	1
ENSG00000164687	987.852	2237.246	2274.772	2015.777	2047.251	1017.883	3949.51	1410.356
ENSG00000164690	1	0	0	1	1	1	1	0
ENSG00000164691	53	166	94	160	149	382	154	120
ENSG00000164692	216.115	365.034	3412.895	415.142	286.779	252.203	1236.983	398.474
ENSG00000164694	3	0	20	2	1	1	1	1
ENSG00000164695	62	12	67.033	54	12	34	59.902	129
ENSG00000164707	34	52	52	29	10	31.094	30.076	76.445
ENSG00000164708	5.757	0	0	0	0	0	0	0
ENSG00000164713	481.151	559.185	609.508	563.172	580.046	798.38	483.967	536.264
ENSG00000164715	670.139	671.353	695	884.422	644	441	773.082	703
ENSG00000164729	0	1	0	0	1.049	0	0	0
ENSG00000164733	2126.927	1142.9	2518.563	1441.363	1468.996	1383.961	1016.122	1108.319
ENSG00000164736	0	0	0	0	0	0	0	0
ENSG00000164740	0	0	0	0	0	0	0	0
ENSG00000164741	4	16.999	9.232	1	2.441	4	22	13
ENSG00000164742	57.582	46.313	48.65	168.376	71.304	347.002	413	20.004
ENSG00000164743	1	0	1	1	0	0	0	0
ENSG00000164744	0	2.001	1	2	1	0	0	1
ENSG00000164746	3	5	8	4	1	3	1	1
ENSG00000164749	358.606	758.151	341.999	280	104.999	69	64.999	479.001
ENSG00000164751	1818.873	1721.584	1488.611	1727.999	1393.721	1658	1954.661	1243.364
ENSG00000164754	7065.396	7452.1	8256.332	9221.815	4509.93	7570.069	10876.356	6477.797
ENSG00000164756	4.579	311.209	2.098	11.714	1	0	375.704	3
ENSG00000164758	251.999	322.999	421	318	141.999	267.292	382	329.973
ENSG00000164761	21	35	161	34	4	61	61.001	69.001
ENSG00000164764	20.092	24.333	26.901	37.801	43.397	42.346	29.847	25.131
ENSG00000164776	62.429	56.219	61.346	92.121	60.943	42.186	49.664	47.225
ENSG00000164778	0	0	1	0	0	0	0	1
ENSG00000164794	17	51	84	12	2	3	10	6
ENSG00000164796	4.676	5.181	6.928	12.45	10.684	2.053	4	8.475
ENSG00000164808	861.235	959.998	972.281	945.024	784.002	818	973.033	942
ENSG00000164815	369.001	508.16	542	616	256	350	762.002	542
ENSG00000164816	0	0	0	0	0	0	0	0
ENSG00000164818	726.411	880.31	955.565	889.997	757.721	805.393	1354.694	869.473
ENSG00000164821	0	0	0	0	0	0	0	0
ENSG00000164822	0	0	0	0	0	0	0	0
ENSG00000164823	1710.165	1479.282	1659.199	1337.358	1028	879	1205	1275.753
ENSG00000164825	0	0	0	0	0	0	0	0
ENSG00000164828	2802.465	2802.741	2201.012	3414.587	2361.414	3637.38	3392.181	2580.58
ENSG00000164830	1655.839	1757.992	2051	1687.542	985.878	994.511	1208.3	1654.012
ENSG00000164841	2	2	2	7	1	1	3	0
ENSG00000164845	11.192	22.018	20.619	17.064	11.564	15.035	7.209	19.476
ENSG00000164849	285.321	239	248	197	53.027	253.052	108	305
ENSG00000164850	520	381.377	339	296.999	224	286	299	227.001
ENSG00000164853	0	0	0	0	0	0	0	0
ENSG00000164855	8.647	2.086	7.89	6.665	13.033	10.453	21.555	16.848
ENSG00000164867	21.246	10	14.302	22.204	20.999	8	46.481	65.059
ENSG00000164871	0	0	0	0	0	0	0	0
ENSG00000164877	40	13.999	53.001	80.001	46	49.001	52.001	83
ENSG00000164879	3	11	23	1	3	6	5	5
ENSG00000164880	3095.381	3074.481	2972.2	3455.331	2571.855	2849.272	4300.714	3275.23
ENSG00000164885	250.93	340.372	431.001	305.999	277	290	442.01	317.999
ENSG00000164889	1221.069	1617	1790.429	1893.556	1113	1481.938	2151.346	1565.755
ENSG00000164893	0	0	0	0	0	0	0	0
ENSG00000164896	1320.755	1486.102	1528	1686.302	1487.007	1503.42	1595	1618.19
ENSG00000164897	953	1181	1210.177	1261.001	762	1040	1217	1048.681
ENSG00000164898	69.117	102.594	110.405	101.241	99.599	114.121	144.559	80.356
ENSG00000164900	2	0	0	2	1	0	0	1
ENSG00000164902	913.884	1184.683	1255.575	1198.173	823.756	823.291	1495.073	1138.752
ENSG00000164904	66.444	275.61	370.637	82.928	112.182	412.1	158.17	115.138
ENSG00000164916	1487.077	1617.949	1678.436	1696.852	1185.502	1373.321	2123.161	1612.603
ENSG00000164919	2222.922	2841.317	2921.863	2749.752	2426.996	2606.022	3041.999	2895.679
ENSG00000164920	66	100	138.137	34	38.001	28.001	40.001	63
ENSG00000164924	15704.983	17937.514	21336.994	18891.483	12176.242	13632.488	19303.03	14455.199
ENSG00000164929	5	3	5	7	1	5	6	11
ENSG00000164930	312	189.999	428.634	472.001	105	207	333	435
ENSG00000164932	5	10	27	25	5	15	37	19
ENSG00000164933	1233.98	1280.309	1483.62	1365.217	1143.023	993.652	1606.037	1318.141
ENSG00000164934	1163.587	1553.904	1665.202	1648.713	1165.612	1284.394	2198.075	1470.778
