JL5-1	JL5-2	JL5-3	JL12-1	JL12-2	JL12-3	MADV1	MADV2	MADV3	MADC1	MADC2	MADC3	808-1	808-2	808-3	MD1-1	MD1-2	MD1-3	MD5-1	MD5-2	MD5-3
ENSG00000178202	4193.729	4319.357	3472.999	3318.374	3979.616	3212.935	3002.315	4421.248	3399.651	2601.789	3699.575	3140.04	4106.322	2909.788	3313.028	3058.485	2560.981	4065.618	3309.869	3024.62	3500.516
ENSG00000178209	14601.329	14893.454	15305.683	12422.709	14259.107	13606.654	9569.403	16163.229	11791.283	11601.838	12627.894	12251.89	12878.006	13977.011	11107.214	11725.291	12971.322	9652.198	10257.601	10058.154	12514.392
ENSG00000178217	15	14.136	8	13	12	20.001	9	11	11	4	15	24	9	11	10	3	9	9	6	4	2
ENSG00000178222	84	164	93	82.999	49	155	54.999	142	130.001	77.999	208.109	141.999	101.728	75	49.001	255.039	380.627	321.001	65.999	95	61.999
ENSG00000178226	52	61	26	34	50.001	53.042	49	58	65	53	77	44	31.001	47	32	34	52	38	41.001	25.001	46
ENSG00000178229	473	672.005	585	389	551	655.288	611	841.009	718	498	883	777.159	601	527	625	588.008	729.016	672.102	617	570	537.798
ENSG00000178233	1830.121	1872.908	2072.946	1601.295	1348.52	3661.181	1363.937	1757.05	1651.921	883.027	1587.364	1538.995	441	232	218.919	393.97	575.968	417	310	363.982	471.015
ENSG00000178234	5242.997	3647.568	2373	4573.302	3096.807	3105.62	3418.061	5815.629	5288.976	3962.198	4239.656	3048.165	3367.354	2585.272	1562.034	2299.894	2811.376	2658.952	2997.551	2566.118	2705.234
ENSG00000178235	31	37	25	31	93	201.005	45	95	94	105	15	46	46	128	65	160	396	234.002	127	136	80
ENSG00000178252	13268.555	16659.062	19054.968	10625.901	15946.934	17601.859	22081.332	28282.031	18949.705	19497.458	19861.412	21532.684	14409.784	15689.866	17871.665	14634.541	17499.929	15425.936	15164.634	15307.212	18210.146
ENSG00000178257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178287	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0
ENSG00000178295	1512.093	2114.999	2116.001	1229.005	2715.951	3249.251	2758.074	3414.725	2846.088	2544.037	2801.85	2604	2212.002	2709.703	2547	2081.162	2268.052	2075.02	2462.38	2683.897	2503.92
ENSG00000178297	20	20.026	15	18	22	10	12	30	24	12	94	32	17	26	17	36	36	40	9	25	16
ENSG00000178301	107	119	76	112	75	85	85	138	147	61	81	83.021	79	54	37	61	85	76	82	66	75
ENSG00000178307	3030.94	3203.54	3055.229	2782.405	3057.621	2612.997	3063.855	4510.507	3307.514	3104.953	2598.323	2902.263	3443.423	2331.589	2650.018	2446.471	2692.684	3098.761	2130.96	2172.83	2722.286
ENSG00000178338	902.937	997.958	833.886	710.337	952.173	870.482	1220.967	1793.472	1160.558	1170.084	1326.391	1018.539	991.905	1280.914	755.389	698.786	659.238	580.839	1018.899	829.062	869.71
ENSG00000178342	11	22	5	9	4	15	4	32	40	35	20	16	17	19	6	7	21	20	5	9	26
ENSG00000178343	635	210	105	583.047	210	512	389	517	389	1007.407	939.816	302	794.287	380	383	297	344	194	1185.978	587	762.002
ENSG00000178358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178363	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0
ENSG00000178372	0	2	0	0	0	0	0	0	1	0	0	0	0	0	4	1	3	0	1	0	0
ENSG00000178381	619.955	759.59	805	546.999	688.053	683.925	965.488	945.999	821.476	881	641.219	821.022	362	352.001	368.001	782.33	853.002	1168.131	792.913	1022.29	1208
ENSG00000178385	824	945	648	666	787	817	521.003	977.099	649.035	589	1221.001	752	768.021	860.123	855	725	820.006	776.122	798.08	691.005	767
ENSG00000178386	409.463	550.681	462.129	335.67	471.788	615.013	572.866	855.829	653.51	485.262	571.751	532.119	502.184	557.865	346.42	515.996	468.89	625	376.938	436.615	480
ENSG00000178394	41	74	431	28	82	24	150	230	223.015	29	110	455	0	3	4	175	301	76	5	14	0
ENSG00000178395	3	3	5	3	1	8	5	6	8	2	2	10	0	0	0	1	8	1	0	0	1
ENSG00000178397	11.738	14.577	12.979	7.604	10.036	9.727	14.775	27.96	582.535	15.187	8.266	25.581	21.379	19.607	8.964	10.32	17.93	19.999	8.006	7.263	6.056
ENSG00000178401	1	12	13	2	9	10	7	17	18	14	26	19	22	20	26	32	36	27	6	19.003	13
ENSG00000178403	3	0	0	5	0	1	0	11	11	1	7	0	0	1	0	0	0	2	0	0	1
ENSG00000178404	3	2	0	2	1	0	0	1	1	1	6.002	0	2	0	0	2	8.005	4	0	1	1
ENSG00000178409	1593.086	2491.381	4116.13	1319.016	2501.247	2881.355	3832.217	4248.751	4254.559	4435.829	6983.803	4700.61	3956.701	3252.915	3713.848	3141.005	4891.848	3404.28	3692.28	4252.997	3613.222
ENSG00000178425	7748.274	8871.506	5362.726	5946.857	7156.1	8632.086	5595.836	9497.081	8145.391	4371.511	9819.758	6609.806	5355.092	5328.486	5374.569	4928.051	5130.205	6003.044	5878.977	5775.544	5787.127
ENSG00000178429	77.083	70.834	63.877	88.107	92.994	64.457	74.244	122.447	87.519	61.665	59.079	47.88	59.466	60.983	42.033	34.874	80.091	28.369	55.38	54.989	67.088
ENSG00000178445	15718.543	14544.919	11652.158	12784.826	14164.612	16411.032	15510.229	21806.458	17300.459	16600.608	10278.779	14777.465	18137.46	14341.421	15156.914	17470.553	17991.162	17873.656	19109.638	17188.283	21590.648
ENSG00000178449	663.034	700.996	524.484	646.473	675	685.501	785.278	994.105	850	861.999	582.988	638.001	815.196	778.999	598.499	558.506	848.356	753.438	607	522.999	651.209
ENSG00000178458	32.992	56.4	48.505	47.144	41.588	73.893	30.8	72.968	81.056	38.003	67.973	49.085	52.97	33.701	27.4	35.606	41.848	36.508	28.316	22.681	55.715
ENSG00000178460	61.001	83.001	25	54	52.999	67	28.033	74	121.001	35	66.147	56.001	80	61.999	39.999	43	63	79	53	70	35
ENSG00000178462	4	10	7	6	1	1	3	16	15	2	2	10	8	8	19	3	22	15	3	9	2
ENSG00000178464	199.223	200.338	177.915	176.143	163.177	146.987	169.108	227.903	189.888	165.726	176.306	172.364	145.646	117.901	100.979	100.077	163.431	139.692	137.304	136.644	184.937
ENSG00000178467	1523.787	1422.153	1444.999	1333.896	1200.999	2014.299	1417.72	1940.261	1720.483	1011	2344.411	1429.539	1102.001	950.999	670.041	919.389	983.329	1022.001	1040.021	1024.017	957.999
ENSG00000178473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178498	3417.302	3534.035	3686.609	3211.731	3703.625	4936.925	4107.419	6302.146	4183.036	4257.101	5941.212	4112.041	3266.001	3274.564	2672.562	2147.025	2558.478	2239.556	3348.072	3090.719	3665.053
ENSG00000178502	2421.027	2153.054	1399	2207.945	2317.282	2458.728	2012.01	2869.155	1857.091	1932.121	2107	1762.091	1921	2374.514	2037.091	1446.236	1745.081	1724.124	1933.558	1683.131	2061.494
ENSG00000178503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178522	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0
ENSG00000178531	2260	3055.376	3629.564	2052.285	2381.201	2668.215	2682.372	3244.475	2907.825	1885.269	2461.852	3039.86	1919.35	870	1525.833	1747.866	1514.667	1805.5	1618.108	1791	2578.538
ENSG00000178537	350.999	322.001	291	327	347.001	285.999	532.776	568	501	506.001	415.999	484.539	699.999	472	503.999	493.001	569.994	616.215	370.341	383.007	445.143
ENSG00000178538	532.026	384	234	467.14	300	549	320.064	830.031	1043.348	786	432	411	1251.201	1234.005	452	1473.676	1487	1152	1045.002	689.028	846.002
ENSG00000178556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178562	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	0	0
ENSG00000178567	2756.999	2935.078	2077	2358.521	2723.226	3728	2526.533	3705.112	2916.267	2150	2932.275	2937.929	2031.618	2490.527	2250.348	1556.001	1833.477	1857.332	2248.475	2222.798	2236.102
ENSG00000178568	128	79	25	120	46	127	14	76	66	31	78	44	63	26	30	49	20	38	35	35	25
ENSG00000178573	578.035	700	878.999	596.017	1042	1884.284	816	1148	743.28	1673.328	3266.342	769.134	1200.002	723.118	396	503	607.185	282	45	22	32
ENSG00000178585	5010.234	5642.897	4048	4416.918	5222.455	6396.449	4288.271	5713.358	4403.552	4124.086	5365.482	4017.831	4964.437	4416.465	4399.656	3283.682	4459.449	4455.721	4663.496	4572.471	4913.867
ENSG00000178586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000178591	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000178596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178597	6	8	6	0	1	6	0	5	1	0	30	3	0	0	0	4	1	9	0	0	0
ENSG00000178602	2	6	0	0	2	2	2	1	1	0	6	0	0	0	0	0	3	3	0	0	0
ENSG00000178605	4031.238	3855.599	3929.693	3518.352	4086.508	3513.128	6349.577	7807.062	5942.981	6440.387	5964.482	5490.668	4631.529	4044.604	4056.428	4802.078	5240.46	5631.521	4878.699	4778.024	6213.939
ENSG00000178607	1583.312	1365.163	655	1352	865.019	774.027	597	1332.968	885	633.007	692.002	811.001	708.258	724	515	723.002	656	701	657	509.035	708
ENSG00000178623	19.134	14.654	14.596	14.249	40	32.994	11.004	14	14	4	24	15	16	18	8	8.849	7	11	13.715	8	12
ENSG00000178631	6	8	16	2	10	21	4	13	18	6	16	13	10	3	8	2	6	4	7	6	2
ENSG00000178636	9	19	5	8	12	27	7	26	15	11	14	18	30	39	18	12	3	33	36	16	32
ENSG00000178645	0	1	0	2	0	3	0	3	7	2	3	0	0	1	7	0	0	2	0	3	0
ENSG00000178654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178660	0	0	0	0	0	0	1.029	0	0	0	2.122	0	0	0	0	0	0	0	1.042	0	0
ENSG00000178662	1247.271	907.154	443	1034.005	780.281	940.006	675.02	896.033	664	665.131	633.001	490	927	1272	718.026	604	814.001	560.08	1124.48	590	875
ENSG00000178665	206.552	177.613	197.917	147.82	189.657	235.973	225.804	334.084	181.072	218.55	309.834	224.051	255.799	202.192	217.685	201.135	216.029	165.173	241.626	201.568	213.47
ENSG00000178685	164.059	270	218	148.999	193.065	300.115	161.998	330.999	202.001	175.001	523	227	131.999	160.999	109	132.001	130.999	160	124.999	129.001	139.999
ENSG00000178690	56	76	48	46	51	70	27	68.005	108	30	230.056	34	17	37	18	28	34	32	21	18	6
ENSG00000178691	5736.05	5747.164	4515.614	4560.215	5780.658	5697.545	6856.273	9624.236	6645.155	5712.4	7879.904	6475.565	5914.01	7632.883	6641.774	5681.121	6281.653	5692.25	6609.882	5194.247	6288.542
ENSG00000178694	836.001	869.999	532	669	690.001	950.002	741.999	1079.016	775.068	670.021	1007.002	699.01	825.999	782	842.021	638.166	831.002	868.002	869.117	797.027	814.074
ENSG00000178695	1698	1961.1	1735.015	1178	1678.083	1611.669	1066	1890.358	1751.145	844.004	1090.218	1724.244	683.001	445	594.089	1090.025	1202.316	999.119	741.229	687.001	817
ENSG00000178700	214	247	200	127	199	371.004	297	392	379.098	208	353.002	332	249	179	175.142	206	274	244	225.037	196	171
ENSG00000178715	0	1	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1
ENSG00000178718	1486.001	1664.627	2000.949	1349.3	1943.073	2937.609	2940.616	2786.294	2662.004	5868.24	2204.47	2623.434	5640.233	4447	5069.357	3192.776	3949.516	3600.915	4284.445	3722.678	4400.169
ENSG00000178719	6575.938	7812.427	8217.841	6096.563	7348.829	8086.994	7855.103	10856.193	8431.042	8830.615	9957.284	6946.786	6718.745	6600.832	5773.984	5968.514	6938.365	6495.278	6012.678	5596.602	6345.391
ENSG00000178723	2	0	0	0	0	0	5	1	1	1	1	4	0	0	0	0	0	0	0	0	0
ENSG00000178726	72	54	35	64	30	38	58	74	61	62.003	6.003	43	66	67	58.031	41	51	33	50	27	51
ENSG00000178732	7	15	9	3	20	25	15	40	39	1	8	20	9	13	5	3	6	0	8	2	6
ENSG00000178741	12274.193	11682.246	9112.157	10646.245	11354.872	11845.183	14115.505	18772.975	14197.542	14868.546	11080.924	11103.746	14495.353	11858.745	10859.038	10087.915	11644.531	11615.99	11158.938	9854.516	12249.143
ENSG00000178750	8	1	1	3	0	0	0	0	0	1	0	0	4	0	1	2	1	5	0	1	0
ENSG00000178752	129	167	86.999	72	67	299.999	44	143.001	133.001	187	147	95	214	184	137.999	96	131.999	143	171	150	121
ENSG00000178761	5594.994	5849.272	5102.99	4987.127	5697.386	5894.023	5401.247	7373.223	5145.128	5135.325	6809.285	5288.192	4834.529	5097.543	4623.174	3553.166	3545.649	3812.805	4860.62	4120.98	5152.13
ENSG00000178762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178764	4088.41	3345.839	3162.08	3497.43	3964.527	4297.429	4667.017	7706.026	5244.303	3951.315	4748.046	5275.801	3890.397	3688.824	2509.004	3579.031	3945.069	2768.462	2938.997	2351.12	3512.989
ENSG00000178772	2	6	2	0	0	1	0	0	1	0	4	2	0	0	1	0	1	2	0	0	0
ENSG00000178773	556.082	713.001	585.992	487.001	826.408	795.001	457.182	934.011	702.048	1199.944	576.015	632.499	470.078	531	503.999	637.002	617.001	689.001	852.527	1079	1147.231
ENSG00000178776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178789	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	5	0
ENSG00000178795	0	3	3	2	1	1	1	1	0	1	0	2	10	2	1	2	1	4	1	1	1
ENSG00000178796	3	0	2	0	0	2	2	0	2	3	5	1	2	4	2	3	1	3	10	6	7
ENSG00000178802	2394.021	2473	1694.546	2035.215	2319.238	3291.568	3002.222	3871.333	2946.098	2841.501	3426.765	2670.329	3473.514	3278.274	3056.579	2129.539	2238.081	2522.531	3468.945	2484.297	2388.605
ENSG00000178804	6	3	1	1	0	1	2	2	2	1	3	1	0	0	0	2	1	0	0	0	0
ENSG00000178809	92.067	73.94	46.734	53.271	114.291	111.123	67.641	117.268	77.076	59.619	139.411	79.684	65.723	134.744	41.646	64.797	40.146	27.005	40.153	33.028	43.299
ENSG00000178814	3762.295	4713.882	3029.178	3259.891	2982.51	3179.586	2100.02	3574.997	2684.175	2324.226	3570.487	2813.25	2035.999	1920.883	1378.09	1541.217	1642.378	1768.967	2113.731	1936.809	2556.989
ENSG00000178821	902.255	956.279	761	725.001	831.001	780.999	920.406	1426.13	1097.071	913.782	1086.081	961	865	671.912	663.002	616.793	726.006	860.869	613	754	942.001
ENSG00000178826	125	200	229	118	131	165.001	138.003	235	235.575	87	155.999	199	101.999	60	84	102.005	145.009	143	76.001	78.109	71
ENSG00000178828	0	1	1	0	0	1	0	0	0	1	0	0	0	1	3	0	0	1	0	0	0
ENSG00000178836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178852	231	193	113	192.001	191	195.999	115	224.999	270.896	174	305	129	164	153	61	66	97.999	95.318	162.748	114.451	109.409
ENSG00000178860	816.084	1068.069	1146	479	693.082	692	206	395.002	460	657.032	282	425.003	626	329	437	381	224	229.003	437	487.124	576.024
ENSG00000178878	57.494	97.079	42	73.63	79.155	174.115	117.1	154.257	107.841	171.34	142.805	68.873	82.636	94.715	60.741	63	95.659	67.627	147.041	80	55.578
ENSG00000178882	438.254	547.535	476.052	354.443	497.633	589.354	845.104	996.399	872.871	521.218	982.982	600.002	392.862	344.205	245.155	342.241	564.073	337.222	427.195	401.223	434.167
ENSG00000178896	777.486	1511	1870.212	669.999	1597.685	1366.776	2496.289	2518.42	1996.856	2062.263	1453.001	2235.605	1483.463	1237.51	1899.836	1743.085	1757.494	1977.632	1114.083	1438.876	1691
ENSG00000178904	8684.349	6548.534	6445.951	7276.584	6467.667	7051.633	6435.149	8732.277	6939.961	5603.083	6713.626	6701.273	7390.585	5872.03	5907.69	6352.704	5891.244	5528.17	6498.756	5951.876	6473.471
ENSG00000178913	18866.222	17822.553	16547.616	16097.249	18184.109	21128.806	13421.722	15705.096	13035.869	13119.076	13549.283	14771.012	12578.938	13752.049	12900.629	13556.305	14574.276	14079.769	11138.622	11167.997	12684.725
ENSG00000178917	305	307.259	312	202	297	408.098	342.008	699	594.685	344	563.46	420	317	322.001	217	357.999	353	328.762	329.019	274.001	286.999
ENSG00000178919	2	10	7	2	2	0	0	2	3	3	2	0	0	2	4	25	6	4	0	0	2
ENSG00000178921	8629.384	13581.862	17829.836	6532.016	14174.218	8280.241	16537.634	15179.78	12946.439	13543.692	13162.545	17055.862	10564.525	9593.838	16180.773	13949.265	14397.134	15291.536	12095.949	13063.94	15117.568
ENSG00000178922	757.018	972.014	907.142	658.001	740.001	893.029	620.074	1143.001	728.001	942.843	1041.017	611.999	712.04	804.847	617	532.021	575.001	580.001	736.003	660	828.007
ENSG00000178927	2373.162	3634.178	4687.191	2003.864	3850.62	3781.835	3853.555	5469.098	3937.09	3710.868	4811.716	4649.891	3309.34	3280.224	3691.778	3211.845	3930.223	3682.811	3146.183	3255.926	3888.985
ENSG00000178928	1	2	4	2	0	3	5	3	8	0	7.531	7	4	6	0	1	4	5	1	1	1
ENSG00000178934	0	0	0	0	0	0	0	3.605	18.44	7	3.666	17.972	15.52	1.88	2.089	10.432	16.606	1.759	0	0	0
ENSG00000178935	418.583	593.946	850.6	265.155	691.916	767.55	846.662	1342.056	997.318	734.795	632.874	900.733	751.167	666.538	768.283	932.461	879.257	878.451	516.762	611.064	630.324
ENSG00000178947	1051.055	1276.018	750	792	645.067	1314	338	898.015	783	1329.365	3923.337	658	597.314	852.009	390	575.022	705.042	650	973	655.709	666
ENSG00000178950	5696.838	6505.25	7240.258	4661.175	7497.26	6621.33	8303.137	11964.18	9626.94	8630.868	9536.461	8612.095	8748.269	8634.152	7942.499	8391.894	9321.926	8667.058	7967.93	7654.513	9664.413
ENSG00000178951	1119.131	1535.102	1566.013	933.12	1388	1617.021	1356.505	2195.178	1713.262	1383.022	2165.271	1410.394	1308.173	1478.127	1533.337	1309.223	1500.383	1542.666	1331	1326.014	1453.075
ENSG00000178952	26478.474	26340.711	22548.163	21446.789	26017.408	21321.482	29996.483	39688.323	29746.851	26097.747	22851.675	28885.377	24602.241	21981.84	23320.217	23231.531	25541.503	26468.594	21030.176	21256.549	26133.681
ENSG00000178965	0	0	1	2	0	1	0	1	0	0	3	3	1	0	1	2	1	2	0	1	0
ENSG00000178966	3079.952	3200.491	2757.151	2250.097	3071.086	3713.133	4463.419	4903.306	3893.659	3291.49	3771.691	3896.868	3341.613	3264.717	4318.582	3133.105	3953.707	3792.13	3239.001	3225.328	3543.752
ENSG00000178971	1694.042	2041.879	2150	1326	2269.975	1885.087	2207.583	2445.106	1976.274	1926.132	2375.208	2250.023	1565	1615.249	1381.022	1720.179	1870.007	1700.507	1716.002	1596.065	1825.051
ENSG00000178974	2971.466	2723.436	1863.139	2495.641	2179	2313.756	2072.135	2975.804	2184.603	1885.114	2253.388	1796.118	1825.792	1904.218	1416.711	1658.095	1658.622	1896	1828.008	1679.349	1771.75
ENSG00000178980	14318.83	15033.39	12284.326	13334.286	12203.507	12496.292	16029.282	19527.055	18648.496	16280.527	14366.555	13364.628	21460.915	12893.721	13347.364	12400.91	14705.134	15905.761	14167.314	13224.632	17011.944
ENSG00000178982	13248.349	12599.149	10649.721	10972.288	12659.323	13531.308	15098.033	19379.42	14776.828	16458.447	13692.392	12858.757	16596.054	16391.196	14538.05	11355.548	13092.819	13197.528	13506.571	11889.73	14194.068
ENSG00000178988	4854.169	5717.001	5565.638	4355.048	6248.66	7225.358	8060.599	10446.887	6940.412	7556.656	6842.371	7295.244	6511.841	5836.746	6530.1	6503.194	6738.267	6925.349	5187.13	5733.301	6483.082
ENSG00000178996	3654.881	3792.624	3037.275	2850.863	2509.222	2132.26	2388.064	4019.005	3529.913	2297.09	2502.758	3024.901	2695.915	2273.133	1974.398	2879.255	2132	3276.358	2071.984	1915	2349.977
ENSG00000178997	24	21	12	22	14.999	27	7	48	42	13	36	20	76	20	16	16	15	28.001	28	14	7
ENSG00000178999	14332.719	11951.404	9007.492	13055.429	10860.454	12760.582	13619.849	19234.142	13454.167	14938.927	10920.934	12266.633	14310.727	12983.603	10739.358	9098.859	9543.898	10561.088	10398.521	9395.63	12338.968
ENSG00000179002	5	1	3	3	5	7	5	23.039	9	5	9	4	1	4	1	1	1	3	4	0	0
ENSG00000179008	136.843	353	119	122	223	884.014	160	300	263	353	183	148	364	372.001	224.999	111	161.045	170	387	395.073	337
ENSG00000179010	30980.506	35964.809	28356.171	24792.005	30293.976	26671.454	35575.601	46034.419	33289.731	28286.583	25308.275	32561.623	28200.73	29102.75	28651.993	27800.219	28348.963	31981.81	22092.708	21893.335	28727.669
ENSG00000179021	1453	1827.968	2506.281	1231.298	1930.697	1654.157	3456.58	3386.32	3009.449	2419.118	2683.306	2722.949	2142.044	1904.067	2157.919	2302.081	2645.339	2672.345	1864.208	1983	1976.547
ENSG00000179023	688.001	1883.362	4887.896	483	2170.331	4550.789	2476.118	3267.039	3102.018	1514.002	2100	4098.657	1307.02	1361.134	2100.614	4637.738	5227.5	2373.201	1525.043	1568.192	1158.31
ENSG00000179029	232.614	302.38	225.001	215.893	290.633	392.043	300	365.251	364	326.309	338.602	249.013	375.003	303.164	322.013	218.001	270	216.993	385	324.001	291
ENSG00000179031	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000179038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179041	3030.461	4288.275	6142.271	2487.326	4910.143	4002.35	7036.738	8335.425	5539.301	5557.517	4170.161	6366.194	4421.424	4070.41	5460.317	5311.601	5468.375	5137.24	3243.476	4113.782	4920.116
ENSG00000179044	158	147	147.001	72	155.999	129.999	189.001	151.999	125.51	162	129.001	116.001	128	167.001	184.15	91	77.001	120	145	127.001	146.001
ENSG00000179046	3038.925	3932.667	4652.83	2033.578	3642.22	3493.44	3485.333	5662.854	5686.529	6974.023	3042.296	3834.136	7797.408	7195.966	7525.653	7774.969	12079.975	8654.337	6467.634	6423.013	5029.463
ENSG00000179051	62304.015	62678.099	72554.238	51185.349	60981.627	62810.556	80588.538	94562.519	77926.996	63567.256	72435.609	77082.857	63566.92	50083.199	68949.85	65808.727	73977.995	69741.933	55170.358	57136.404	72529.614
ENSG00000179055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179057	28	24	21	24	19	34	21	40	36	17	26.003	25	13	10	10	11	3	12	12	11	6
ENSG00000179058	0	1	4	2	0	2	2	1	1	0	0	0	0	3	4	0	1	1	5	3	1
ENSG00000179059	6258.405	7966.555	9777.016	109	131	26	8681.753	8231.207	5801.5	14	13	14	18477.418	14834.538	16786.932	17393.99	18312.457	19225.209	14013.6	14307.667	15385.031
ENSG00000179071	1	1	0	7	0	1	1	0	2	0	2	2	0	1	0	2	0	1	0	0	1
ENSG00000179073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179083	119	145	115	60	78	102	81	113	141	49	116	74	46	84	60	134	200	173	43	35	47
ENSG00000179085	896.049	759	420	861.999	658.081	1384.682	527	990.284	886.999	571.02	621.663	497.337	863	678.788	439	434	556.068	621.599	628	516.001	555.093
ENSG00000179088	3	8	4	5	4	3	4	4	7	3	5	3	13	11	6	0	3	2	6	2	2
ENSG00000179091	12386.759	11843.609	9551.896	10707.837	12066.158	12281.548	14476.286	16258.994	13872.958	13626.969	10460.83	10863.733	13096.423	10903.263	10110.824	8711.659	9798.412	10905.162	10691.284	10059.788	11992.216
ENSG00000179094	5292.174	3575.784	3312	4885.827	3607.562	3750.824	3407.967	5363.057	3528.574	2988.628	3584.8	2939.873	2532.091	2863.079	2988.987	2826.164	2666.904	2149.191	3157.115	2144.003	3133.35
ENSG00000179097	23	27	21	15	10	29	13	34	28	13	75	21	36	18	20	23	20	21	39	46	52
ENSG00000179101	26.282	12.387	24.295	12.124	22.264	36.031	14.161	32.69	25.335	13.148	25.988	25.247	22.256	24.358	12.153	10.155	15.155	8.088	19.32	18.28	15.16
ENSG00000179104	960.185	789.013	555	872.107	693.139	957.163	578	1458	1069.015	578.326	1453.135	721	727.001	645.185	287	552.387	511.795	475	684	545	496
ENSG00000179111	10	14	4	12	15	61	19	46.001	32	263	44	25	113	105	42	33.001	26	21	117	55	115
ENSG00000179115	4948.568	7072.43	9123.675	3837.157	7702.146	5571.05	10561.417	10663.227	8038.1	8342.404	7217.153	8843.489	6449.19	6148.385	8205.555	7406.046	7282.252	7879.532	5637.388	5691.618	7976.038
ENSG00000179119	2836.247	2726.47	2232.033	2476.94	2401.978	2780.732	2790	4113.822	2990.264	2260.179	2655.883	2681.41	2576	2720.932	2542.048	2397.208	2521.069	2958.073	2611.551	2304.319	2661.264
ENSG00000179131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179133	4	8	9	6	1	6	5	5	8	4	0	6	4	3	2	5	7	7	3	2	3
ENSG00000179134	7920.012	8964.981	10063	6798.096	9281.392	7046.848	11304.254	14582.406	11013.577	9626.71	11269.027	10446.871	8150.335	8853.347	9111.971	9531.783	8614.936	9479.171	8213.808	7177.112	9838.922
ENSG00000179142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179144	0	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000179148	55	51	10	34	22	47	8	30	38	26	36	20	22	32	12	9	14	16	21	29	31.001
ENSG00000179151	4475.947	4506.493	4564.879	3974.333	4779.526	4914.088	4659.737	6252.662	4733.919	4110.396	4843.24	4965.342	4057.435	3964.125	4414.343	4173.309	4389.963	4833.093	3965.56	3845.454	4470.385
ENSG00000179152	1145	1231.025	1093.001	894	1325.001	1787.157	2107.743	2776.329	1930.161	1820.151	1782.709	1710.021	1184.001	1486.055	1213.999	1485.696	1609.443	1228.975	1465.043	1216.001	1420.023
ENSG00000179157	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000179163	1201	1182.989	752.017	867.956	1057	1004.383	991	1634.124	1046	830.64	1156	873.13	1061.943	1091.166	646.01	781	872.132	977.14	877.46	821.995	932.004
ENSG00000179165	5	12	5	6	17	6.007	17.001	14	2	8	9.005	3.002	14	24	27.064	11	12	9	2	4.006	7.007
ENSG00000179168	69	107	141	58	105	153	113	138.012	152	68	135	150	61	34	48.999	57	65	62	72	53	51
ENSG00000179170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179172	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000179178	1754	1524.44	1450.378	1442.011	1183.782	1288.372	1289.292	1703.627	1500.211	993.195	1410.837	1296.437	1083.111	1123.357	775.566	1138.831	1242.052	1373.751	874	865.003	972
