JL	Control_1	Control_2	Control_3
ENSG00000187766	0	0	0	0
ENSG00000187772	0	0	1	0
ENSG00000187773	0	2	0	0
ENSG00000187775	5	0	1	1
ENSG00000187778	2477.804	3757.723	3098.471	3062.505
ENSG00000187783	0	0	0	0
ENSG00000187790	275	1231.281	276.017	480
ENSG00000187791	0	5	0	0
ENSG00000187792	439	485.002	516	466
ENSG00000187796	134.709	162.433	761.491	39.642
ENSG00000187800	1384.049	1407.103	278	1389.014
ENSG00000187801	97	263.999	171	140
ENSG00000187806	0	0	0	0
ENSG00000187808	7	19	12	9
ENSG00000187812	0	0	0	0
ENSG00000187815	227.983	426	255	274
ENSG00000187821	0	0	0	0
ENSG00000187823	0	0	2	1
ENSG00000187824	888.041	789.03	912.002	660.048
ENSG00000187833	0	0	0	0
ENSG00000187837	152	602.581	931	343.523
ENSG00000187838	3378.708	8533.947	5174.456	6202.132
ENSG00000187840	3047.145	6670.393	4720.639	4272.38
ENSG00000187847	0	0	0	0
ENSG00000187848	0	0	0	0
ENSG00000187855	0	0	0	0
ENSG00000187857	0	0	0	0
ENSG00000187860	85	135.001	92	102
ENSG00000187862	0	0	0	0
ENSG00000187866	1801.546	2259.344	1472.656	1541.307
ENSG00000187867	19	57	104	32
ENSG00000187870	0	0	0	0
ENSG00000187871	0	0	0	0
ENSG00000187889	0	5	10	3
ENSG00000187893	0	0	3	0
ENSG00000187900	0	0	0	0
ENSG00000187902	0	0	0	0
ENSG00000187905	1	5.29	1.174	0
ENSG00000187908	11	0	2	0
ENSG00000187912	2	0	0	0
ENSG00000187918	0	0	0	0
ENSG00000187922	0	0	0	0
ENSG00000187942	402	58.004	597	330
ENSG00000187944	7	18.063	21	5
ENSG00000187950	13	32	0	0
ENSG00000187952	0	1.152	0	1.138
ENSG00000187953	500.882	614.397	797.475	576.495
ENSG00000187954	2680.437	3434	3289.021	2303.167
ENSG00000187955	55467.889	224	219	840.043
ENSG00000187957	66	723.001	12	30
ENSG00000187959	0	0	0	2
ENSG00000187961	456.001	1089	875	961.498
ENSG00000187969	0	0	0	0
ENSG00000187980	0	0	0	0
ENSG00000187984	1	2	2	0
ENSG00000187987	81	85	71	87
ENSG00000187988	0	0	0	1.001
ENSG00000187994	195.019	122	134	94
ENSG00000187997	0	0	0	0
ENSG00000187999	0	2	0	0
ENSG00000188000	0	0	0	1
ENSG00000188001	274	20	11	14
ENSG00000188002	446.615	501.004	328.04	472.915
ENSG00000188010	946.225	884.989	818.999	836
ENSG00000188011	0	1	0	0
ENSG00000188013	49.116	36.113	12	23
ENSG00000188015	275	452.017	217	783
ENSG00000188021	3664.978	4631.165	2882.625	2700.568
ENSG00000188026	1846.216	2157.408	2274.999	1429.815
ENSG00000188029	0	0	0	0
ENSG00000188032	0	0	0	0
ENSG00000188033	384.4	442.006	375	243
ENSG00000188037	0	0	0	0
ENSG00000188038	2	3	0	7
ENSG00000188039	0	0	0	0
ENSG00000188042	11450.056	4665.04	3137.906	991
ENSG00000188050	1	0	0	0
ENSG00000188051	12	0	5	0
ENSG00000188056	0	5	1	0
ENSG00000188060	718.007	116	94	176.093
ENSG00000188064	12	96	9	11
ENSG00000188070	3728.735	3822.274	3745.331	3620.443
ENSG00000188076	0	0	0	0
ENSG00000188078	0	0	0	0
ENSG00000188086	0	0	0	0
ENSG00000188089	0	0	0	0
ENSG00000188092	673.542	976.018	1015.207	772.777
ENSG00000188095	43	33.194	18	12
ENSG00000188100	0	5	1	0
ENSG00000188101	0	0	0	0
ENSG00000188107	2	0	1	1
ENSG00000188112	765.009	3227.734	1362.179	1988.003
ENSG00000188120	0	0	0	0
ENSG00000188124	1	21	10	3
ENSG00000188130	2732.051	2287.967	2627.126	2133.316
ENSG00000188133	0	0	0	0
ENSG00000188152	3	0	0	0
ENSG00000188153	376.001	267	61	4018.811
ENSG00000188155	0	0	0	0
ENSG00000188157	6671.235	10127.671	19688.122	4202.463
ENSG00000188158	711.01	1510.037	1298	1075.001
ENSG00000188162	0	0	0	0
ENSG00000188163	3	0	2	0
ENSG00000188167	31.053	148.023	138	146
ENSG00000188171	465.001	607.346	536	414
ENSG00000188175	1	2	0	0
ENSG00000188176	12	0	1	0
ENSG00000188177	1027	1212	858	835
ENSG00000188186	2377.008	1327.999	1821.818	1771.326
ENSG00000188191	640.063	299.972	857.84	508.999
ENSG00000188199	19.732	76.904	68.224	53.328
ENSG00000188211	1719	287	283	267
ENSG00000188215	1341.056	2603.053	2612.895	2760.726
ENSG00000188219	0	4.254	6.151	0
ENSG00000188223	28.047	22.639	26.473	12.833
ENSG00000188227	109	498	491.999	198
ENSG00000188229	8772.085	46564.464	19686.073	26854.367
ENSG00000188234	326.814	325.081	497.398	375.193
ENSG00000188243	3324.324	1795.965	2857.938	2600.321
ENSG00000188257	5	0	0	0
ENSG00000188263	0	0	0	0
ENSG00000188266	81	199.001	94	92
ENSG00000188269	0	0	0	0
ENSG00000188277	16	0	2	6
ENSG00000188282	0	0	0	0
ENSG00000188283	660.988	645	771.052	500.05
ENSG00000188290	193	338.001	512	141
ENSG00000188293	0	0	0	0
ENSG00000188295	205	204.999	190	202
ENSG00000188305	1	0	3	8
ENSG00000188306	4	0	1	0
ENSG00000188312	484	1252.02	213	358
ENSG00000188313	3685.805	2408	1092	1093.999
ENSG00000188314	0	0	0	0
ENSG00000188315	243	347	216	274.001
ENSG00000188316	29	19	50	6
ENSG00000188321	896.904	968.203	888.804	837.731
ENSG00000188322	2	0	1	2
ENSG00000188324	0	0	0	0
ENSG00000188334	0	0	0	0
ENSG00000188338	9	7	2	2
ENSG00000188340	0	0	0	0
ENSG00000188342	1615.287	2939.338	4902.388	2939.149
ENSG00000188343	2101.025	2356.462	1727.001	1459.028
ENSG00000188352	2717.617	4219.69	3789.143	3768.734
ENSG00000188368	81	106	28	56
ENSG00000188372	101.307	101.088	121.873	265.453
ENSG00000188373	0	0	0	0
ENSG00000188375	2	3	2	0
ENSG00000188379	0	0	0	0
ENSG00000188383	0	0	0	0
ENSG00000188385	81	70	74	44
ENSG00000188386	0	0	0	0
ENSG00000188388	5.055	6.12	12.241	0
ENSG00000188389	0	0	3	0
ENSG00000188393	0	18	1092.393	0
ENSG00000188394	0	0	0	0
ENSG00000188396	4	5	0	3
ENSG00000188399	0	0	0	0
ENSG00000188403	0	0	0	0
ENSG00000188404	4	3	1	3
ENSG00000188408	0	0	0	0
ENSG00000188419	2712.136	3937.698	2752.624	2740.685
ENSG00000188425	0	0	0	0
ENSG00000188428	1206.218	1743.999	1117.842	907.317
ENSG00000188438	0	0	0	0
ENSG00000188439	0	0	0	0
ENSG00000188451	0	0	0	0
ENSG00000188452	85	7.001	140	27
ENSG00000188459	0	0	0	0
ENSG00000188460	2	2	5	0
ENSG00000188467	0	0	0	0
ENSG00000188483	1295.576	1788.381	1168.236	1591
ENSG00000188486	1146.008	13038.467	1505	3787.403
ENSG00000188487	4	54	17	24
ENSG00000188488	11	2	0	1
ENSG00000188493	852.001	875.094	525	525.001
ENSG00000188501	29	23	235	81
ENSG00000188505	0	0	0	0
ENSG00000188508	0	0	0	0
ENSG00000188512	0	0	0	0
ENSG00000188517	93.001	14	3	6
ENSG00000188522	993.303	3331.432	2741.46	1984
ENSG00000188523	5	0	0	0
ENSG00000188529	6726.753	14477.075	9865.773	9745.107
ENSG00000188536	1	0	0	0
ENSG00000188542	154	297	250	223
ENSG00000188549	2525.008	5971.003	8187.511	11034.156
ENSG00000188554	12871.662	23903.616	19071.026	14627.481
ENSG00000188558	0	0	0	0
ENSG00000188559	718.625	652	315.046	493
ENSG00000188566	422.025	1681.986	474	541.6
ENSG00000188573	43	63	14	11
ENSG00000188580	2	0	0	0
ENSG00000188581	0	0	106	0
ENSG00000188582	0	6	3	1
ENSG00000188585	1	1	0	1
ENSG00000188596	64.012	115	85	30
ENSG00000188599	592.437	1419.721	1474.311	695.198
ENSG00000188603	3287.77	1633.918	1103.957	1089.323
ENSG00000188610	53.893	924.535	120.483	366.904
ENSG00000188611	135.62	240.735	201.573	86.981
ENSG00000188612	11503.294	19117.333	12637.805	13002.82
ENSG00000188613	266.016	36	93	40
ENSG00000188620	3	0	1	1
ENSG00000188624	5	0	0	0
ENSG00000188626	28	69.931	77.727	73.996
ENSG00000188629	147.46	138.723	194.043	86.335
ENSG00000188636	4212.252	6841.395	4510.047	3677.453
ENSG00000188641	5159.05	6578.246	6810.181	3817.84
ENSG00000188643	5752.882	21405.977	17087.196	11544.215
ENSG00000188646	0	0	0	0
ENSG00000188647	3724.286	10167.39	9062.402	5132.332
ENSG00000188649	8	6	2	1
ENSG00000188655	0	0	0	0
ENSG00000188656	0	0	0	0
ENSG00000188659	83	42	30	22
ENSG00000188662	6	5	39	5
ENSG00000188668	0	0	0	0
ENSG00000188672	23	36	53	46
ENSG00000188674	0	0	0	0
ENSG00000188676	0	0	0	0
ENSG00000188677	2920.471	6861.002	5206.555	4178.129
ENSG00000188681	148.691	79.965	70.758	43.994
ENSG00000188687	54	26.605	90.685	63.19
ENSG00000188690	3639.653	5321.134	4395.029	3272.9
ENSG00000188691	0	0	0	0
ENSG00000188694	0	0	0	0
ENSG00000188706	6206.762	5739.728	4304.832	3512.793
ENSG00000188707	41.295	10	4	12
ENSG00000188710	0	0	0	0
ENSG00000188712	0	0	0	0
ENSG00000188716	0	0	5	0
ENSG00000188725	4153.752	6284.556	4086.023	4744.339
ENSG00000188729	0	8	27	0
ENSG00000188730	0	0	0	0
ENSG00000188732	74	16	10	14
ENSG00000188735	1136	1189	2068.001	1408.464
ENSG00000188738	14	0	0	2
ENSG00000188739	2212	3093.282	2158.555	2318.518
ENSG00000188747	50	21	30	10
ENSG00000188755	0	0	4.006	0
ENSG00000188760	208	232.001	292.013	132.001
ENSG00000188761	6	16	22	11
ENSG00000188763	14	36	12	11
ENSG00000188765	0	0	0	0
ENSG00000188766	182.008	785.999	519.005	849
ENSG00000188770	0	0	0	0
ENSG00000188771	0	0	0	0
ENSG00000188778	0	0	0	0
ENSG00000188779	15	19	3	2
ENSG00000188782	0	0	0	0
ENSG00000188783	940	1200	14591.375	415
ENSG00000188784	0	0	0	0
ENSG00000188785	945.364	1259.99	906.801	833.524
ENSG00000188786	1653.556	2461.296	1868.64	2137
ENSG00000188800	0	0	0	0
ENSG00000188801	0	3.454	0	1.951
ENSG00000188803	0	0	0	0
ENSG00000188807	538	1059.002	531	599.001
ENSG00000188811	2148.224	1604.529	1186.001	961.001
ENSG00000188816	0	0	0	0
ENSG00000188817	0	0	3	2
ENSG00000188818	35.37	90.001	47.314	31.901
ENSG00000188820	21.949	8	29	7
ENSG00000188822	0	0	0	1
ENSG00000188827	593.28	1527.03	780	1005.143
ENSG00000188828	0	0	3	0
ENSG00000188831	0	3	0	0
ENSG00000188833	1	0	0	0
ENSG00000188846	53683.204	43679.323	37001.358	36842.29
ENSG00000188848	0	3	0	1
ENSG00000188850	0	0	0	0
ENSG00000188856	7.063	4.001	3.001	1
ENSG00000188859	42	21	9.001	9
ENSG00000188868	168	142	169	114.999
ENSG00000188869	0	0	0	0
ENSG00000188873	0	0	0	0
ENSG00000188877	0	0	0	0
ENSG00000188878	446.028	1267.349	468.827	538.991
ENSG00000188883	0	2	0	0
ENSG00000188886	0	2	2	2
ENSG00000188895	8135.021	10258.407	8863.096	8071.167
ENSG00000188897	4	10	21	0
ENSG00000188906	1654.053	1937.298	1295.004	746
ENSG00000188909	0	0	0	0
ENSG00000188910	0	33	15	8
ENSG00000188916	25	94	135	42
ENSG00000188917	796	1344.004	923.78	827.335
ENSG00000188921	1507.221	3078.886	926	1044
ENSG00000188931	2	0	1	0
ENSG00000188933	1567.784	1336.331	131.897	1155.12
ENSG00000188937	0	0	0	0
ENSG00000188938	2831.207	3884.652	2873.036	2369.298
ENSG00000188958	64	88.001	13	24
ENSG00000188959	6	10	7	10
ENSG00000188976	2969.96	7467.96	4780.815	4978.385
ENSG00000188981	6	1	7	7
ENSG00000188984	0	0	0	0
ENSG00000188985	0	0	74.299	200.543
ENSG00000188986	3358.771	5773.894	3565.333	3472.089
ENSG00000188991	0	0	4	1
ENSG00000188992	0	0	0	0
ENSG00000188993	45	100.012	74	84
ENSG00000188994	2665.105	3119.011	2257.177	2400.763
ENSG00000188996	0	2	3	3
ENSG00000188997	1232.276	1647.479	1027.002	1120.339
ENSG00000189001	1109.322	826	46.999	210
ENSG00000189002	0	0	0	0
ENSG00000189007	377	511.01	528	527.002
ENSG00000189013	0	0	0	0
ENSG00000189014	13.488	67.707	31.62	5.898
ENSG00000189023	0	0	0	0
ENSG00000189030	0	0	0	0
ENSG00000189037	0	0	0	0
ENSG00000189042	490	652.34	513	562
ENSG00000189043	8079.634	6553.623	11932.592	12895.966
ENSG00000189045	1	16	26	14
ENSG00000189046	654	678.098	543.089	596.151
ENSG00000189050	997	1545.002	1061	940.998
ENSG00000189051	0	0	0	0
ENSG00000189052	0	26.84	204.669	8.072
ENSG00000189056	50	832.014	22	13
ENSG00000189057	155	2714.069	196	979.772
ENSG00000189058	5606.93	253.001	52	210
ENSG00000189060	12681.64	20878.125	13708.502	14441.191
ENSG00000189064	0	0	0	0
ENSG00000189067	8295.904	9988.071	8344.289	1190.165
ENSG00000189068	0	0	0	0
ENSG00000189077	1734.465	1976.727	1962.258	1483.304
ENSG00000189079	1704.318	2408.206	1603.011	1587.01
ENSG00000189089	0	0	0	0
ENSG00000189090	0	0	0	0
ENSG00000189091	8133.266	16799.417	8576.678	10061.562
ENSG00000189099	0	0	0	0
ENSG00000189108	5	0	0	23
ENSG00000189114	542.093	980.448	731.005	483
ENSG00000189120	7	40	36	14
ENSG00000189127	0	0	0	0
ENSG00000189129	1892.404	1165.373	796.005	1933.342
ENSG00000189132	0	0	0	0
ENSG00000189134	95	133	72	37
ENSG00000189136	252	358.002	355.999	329.213
ENSG00000189139	0	0	0	0
ENSG00000189143	16	26	49	9
ENSG00000189144	59	110.157	67	122
ENSG00000189145	0	0	0	0
ENSG00000189149	28	44	11	9
ENSG00000189152	1	1	0	2
ENSG00000189157	3	5	3	11
ENSG00000189159	3045.15	6522.577	4098.273	5739.351
ENSG00000189164	461	520.002	438	400
ENSG00000189166	1.002	0	0	0
ENSG00000189167	0	0	0	0
ENSG00000189169	0	0	0	0
ENSG00000189171	4651.864	5414.32	7469.013	7593.345
ENSG00000189180	1495.04	2232.906	1639.735	1468.14
ENSG00000189181	0	0	0	0
ENSG00000189182	0	0	0	0
ENSG00000189184	31866.637	62799.063	31765.377	32167.078
ENSG00000189186	0	0	0	0
ENSG00000189190	379	426	458	409.316
ENSG00000189195	315	361	209	253.001
ENSG00000189212	0	3.879	9.159	37.947
ENSG00000189221	207	57	35	9
ENSG00000189227	669	606.017	403.001	261
ENSG00000189233	0	2	0	0
ENSG00000189241	5241.467	9232.585	7064.113	5620.062
ENSG00000189252	0	0	0	0
ENSG00000189253	0	0	0	0
ENSG00000189266	6128.646	9458.092	6288.646	6340.731
ENSG00000189269	50	3	14	14
ENSG00000189280	0	1	0	2
ENSG00000189283	218.999	8	10	12
ENSG00000189292	17	0	3	0
ENSG00000189298	439.079	413.055	387	377.443
ENSG00000189299	0	0	0	0
ENSG00000189306	2428.382	4175.868	4290.235	3161.063
ENSG00000189308	980.415	3257.249	1325	1784.106
ENSG00000189319	1392.267	1579.436	1353.108	905.585
ENSG00000189320	1878.687	6626.772	4711.367	2903.86
ENSG00000189325	0	0	0	0
ENSG00000189326	0	0	0	0
ENSG00000189332	0	0	0	0
ENSG00000189334	1	3	1	0
ENSG00000189337	1751.999	2514.154	2333.024	1411.364
ENSG00000189339	5937.11	6552.646	4420.361	5619.115
ENSG00000189343	114.041	13.026	69.101	70.172
ENSG00000189348	0	0	0	0
ENSG00000189350	0	4	1	4
ENSG00000189357	0	0	0	0
ENSG00000189362	663	637.986	313.001	367.001
ENSG00000189366	2.006	2	5	1
ENSG00000189367	253.561	172.952	147.91	1.664
ENSG00000189369	986.179	1263	895	668.039
ENSG00000189372	0	0	0	0
ENSG00000189375	0	0	0	0
ENSG00000189376	836.622	1271.222	1092.309	951.519
ENSG00000189377	0	0	0	0
ENSG00000189398	7	0	0	4
ENSG00000189401	0	0	0	0
ENSG00000189403	18059.097	41747.308	21787.896	23953.885
ENSG00000189409	15.525	44	40	38
ENSG00000189410	387	541	453	388
ENSG00000189420	33	43	7	10
ENSG00000189423	69.676	77.938	96.319	94.703
ENSG00000189430	0	0	0	0
ENSG00000189431	0	0	0	0
ENSG00000189433	0	0	0	0
ENSG00000196071	0	5	0	0
ENSG00000196072	3016.989	2967.901	3721.59	2785.387
ENSG00000196074	104	423	274.001	159.001
ENSG00000196081	19.715	147.042	37.419	50.38
ENSG00000196083	1446.188	2127.571	2124.211	534
ENSG00000196085	0	0	0	0
ENSG00000196090	0	1	0	0
ENSG00000196091	0	0	0	0
ENSG00000196092	0	0	1	0
ENSG00000196098	0	0	0	0
ENSG00000196099	0	0	0	0
ENSG00000196101	0	0	0	0
ENSG00000196104	0	0	0	0
ENSG00000196109	7.814	0	0	1
ENSG00000196110	201.032	315	396	399.001
ENSG00000196114	3	0	1	1
ENSG00000196115	0	2	0	0
ENSG00000196116	1009.073	1934.42	1167.755	1208.541
ENSG00000196118	63.006	295.999	207	148.999
ENSG00000196119	0	0	0	0
ENSG00000196123	711	1462	1428.999	1315.995
ENSG00000196126	5.003	0	12	8
ENSG00000196131	0	0	0	0
ENSG00000196132	0	0	0	0
ENSG00000196136	83	14	13	1
ENSG00000196139	13077.39	1952.568	1870.301	626.525
ENSG00000196141	7129.08	24834.725	8777.953	8983.705
ENSG00000196143	0	0	0	0
ENSG00000196150	547.01	575.999	431	375.011
ENSG00000196151	1098.497	631	409.001	363
ENSG00000196152	256.114	412	394	229.031
ENSG00000196154	18251.807	28068.28	80696.325	59281.988
ENSG00000196155	2661.929	2275.02	2230.24	2409.391
ENSG00000196156	0	0	0	0
ENSG00000196159	7606.813	9764.904	5586.257	9824.981
ENSG00000196166	0	0	0	0
ENSG00000196169	0	0	0	0
ENSG00000196171	0	0	0	0
ENSG00000196172	111	245	105	155
ENSG00000196177	1672.014	2100.676	1764	1522.242
ENSG00000196182	1946.49	2627.25	1840.155	2417.022
ENSG00000196183	0	0	0	0
ENSG00000196184	0	0	0	0
ENSG00000196187	2284.176	3127.357	2767.441	2944
ENSG00000196188	0	0	0	0
ENSG00000196189	83	114.001	111	78
ENSG00000196196	83	470	134	387
ENSG00000196199	4002.723	5092.495	4273.284	3386.915
ENSG00000196204	940.72	1266.125	1286.514	1525.474
ENSG00000196205	2897.301	2539.086	1636.542	1833.573
ENSG00000196208	23	6	4	4
ENSG00000196209	0	0	0	0
ENSG00000196214	909	901.15	896.326	819
ENSG00000196218	0	13	0	5
ENSG00000196220	241.039	59	199	45
ENSG00000196224	0	0	0	0
ENSG00000196227	1368.009	1403.057	1580.002	994
ENSG00000196228	0	0	0	0
ENSG00000196230	41582.801	149838.451	106308.862	99155.24
ENSG00000196231	0	0	0	0
ENSG00000196233	1731.302	3303.4	1991.234	2472.151
ENSG00000196235	9195.469	10798.635	9560.866	8209.813
ENSG00000196236	1353.024	1316	1064.999	985
ENSG00000196240	0	0	0	0
ENSG00000196242	1.161	0	0	0
ENSG00000196247	416	983.019	336	367
ENSG00000196248	0	0	0	0
ENSG00000196260	0	0	0	0
ENSG00000196262	73150.125	111707.411	92205.707	103572.519
ENSG00000196263	722.092	997	824	594.001
ENSG00000196266	0	0	0	0
ENSG00000196267	338	295	229	185
ENSG00000196268	321.001	1068	556	505
ENSG00000196275	756.352	575.231	984.367	395.125
ENSG00000196277	0	0	0	0
ENSG00000196284	339	482.002	609.225	369
ENSG00000196289	0	0	0	0
ENSG00000196290	974	1938.846	1123.999	1093.526
ENSG00000196296	35	43	54	59.999
ENSG00000196301	0	0	0	0
ENSG00000196302	9.669	24.876	0	17.422
ENSG00000196305	21612.898	31086.011	32199.455	22799.694
ENSG00000196312	1546.82	1810.067	1850.389	1078.341
ENSG00000196313	3448.543	6204.507	3902.514	3455.08
ENSG00000196323	4728.517	3441.573	2483.001	2262.442
ENSG00000196329	0	0	2	1
ENSG00000196335	5	1	1	0
ENSG00000196337	11.667	101.27	232.31	33.087
ENSG00000196338	42	117	30	32
ENSG00000196341	0	0	0	0
ENSG00000196344	1	0	0	0
ENSG00000196345	494.53	606.992	411.999	369.001
ENSG00000196350	0	0	0	0
ENSG00000196352	5450.897	5935.389	6541.176	4061.943
ENSG00000196353	0	5	14	0
ENSG00000196357	224	223	170	235
ENSG00000196358	248	217	191	29
ENSG00000196361	0	0	2	0
ENSG00000196363	3484.061	4854.075	2702.15	3286.014
ENSG00000196364	0	0	0	0
ENSG00000196365	7945.186	6575.039	7157.527	5379.091
ENSG00000196367	5416.64	7697.702	4356.322	5013.293
ENSG00000196368	806.846	1148.734	552.923	635.615
ENSG00000196369	2678.521	3908.105	2646.393	2722.024
ENSG00000196371	839.986	1116.097	905.486	672.799
ENSG00000196372	991.116	624.999	507.069	288
ENSG00000196376	9	2	0	0
ENSG00000196378	201	310	328.999	224.001
ENSG00000196381	103	147.875	91	96
ENSG00000196383	0	0	0	0
ENSG00000196387	802.938	931.999	873.514	850.007
ENSG00000196388	81	26.001	54	51
ENSG00000196390	0	0	0	0
ENSG00000196391	155.001	138	133	107.001
ENSG00000196395	0	0	0	0
ENSG00000196396	2535	5026.406	4231.818	3940.63
ENSG00000196403	0	1	0	0
ENSG00000196405	3211.694	2973.583	2906.068	2282.519
ENSG00000196406	0	0	0	8
ENSG00000196407	0	0	0	0
ENSG00000196408	5	10	6	2
ENSG00000196411	4076.739	3454.443	3562.39	3850.765
ENSG00000196415	0	0	1	0
ENSG00000196417	503.287	741.344	597.218	549.416
ENSG00000196418	163	160.67	139	155
ENSG00000196419	18462.839	32785.442	23547.945	25867.117
ENSG00000196420	33	32	24	23
ENSG00000196421	8	23	23	28
ENSG00000196422	1258	1902.353	1191.805	1662.534
ENSG00000196427	3	0	0	0
ENSG00000196428	3370.466	6441.472	5645.649	8286.29
ENSG00000196431	1	0	1	0
ENSG00000196433	0	3	4	0
ENSG00000196436	0	3.324	0	127.473
ENSG00000196437	394	878.999	639.001	559
ENSG00000196440	1504.083	1579.076	1567.073	1335.172
ENSG00000196449	655.701	1110.631	1009	1125
ENSG00000196453	1139.004	1640.997	882.038	961.112
ENSG00000196455	2267.296	3486.641	2028	2044.042
ENSG00000196456	466	340	249	270.002
ENSG00000196458	1490.173	2221.963	2140.944	1599.981
ENSG00000196459	816	797.067	911.267	868.002
ENSG00000196460	581.006	1637.14	2897.871	1526.016
ENSG00000196465	2837.486	2077.069	1966.953	1963.96
ENSG00000196466	195.276	238.006	228.923	190.822
ENSG00000196468	0	4	1	4
ENSG00000196470	1677.651	1866.497	1436.631	1311.458
ENSG00000196472	0	0	0	0
ENSG00000196475	0	0	0	0
ENSG00000196476	557.021	372.25	256	203
ENSG00000196482	5	0	0	4
ENSG00000196497	1751.193	3421.772	2099.56	2384.383
ENSG00000196498	11823.203	18534.478	11048.742	12834.545
ENSG00000196502	15.295	16.019	13.518	8.089
ENSG00000196503	19	30	0	10
ENSG00000196504	5925.601	11171.393	6757.207	7389.98
ENSG00000196505	992.005	1746.486	1194.001	1111.003
ENSG00000196507	2933.046	5312.614	4885.571	5188.127
ENSG00000196510	2851.03	4648.394	3491.012	3128.33
ENSG00000196511	360.999	155.999	105	113.012
ENSG00000196517	2024.785	3392.168	3991.041	2349.385
ENSG00000196526	7688.457	16292.884	11272.966	15475.366
ENSG00000196531	42263.735	25187.562	26129.6	25907.029
ENSG00000196534	0	0	0	0
ENSG00000196535	3855.425	8278.484	7665.8	4538.369
ENSG00000196542	0	0	0	0
ENSG00000196544	420.001	525	452	343
ENSG00000196547	4099.958	3637.174	4048.626	2724.002
ENSG00000196549	91252.587	6710.779	4484.616	8761.681
ENSG00000196550	94.944	854.699	232.888	414.716
ENSG00000196553	0	0	0	0
ENSG00000196557	17	1	0	4
ENSG00000196562	9729.898	556	6550.725	2431.258
ENSG00000196564	0	0	0	0
ENSG00000196565	0	0	0	0
ENSG00000196569	12147.704	7875.138	7817.715	5041.871
ENSG00000196570	0	0	0	0
ENSG00000196576	20205.606	29662.913	31189.059	21292.014
ENSG00000196578	0	0	0	0
ENSG00000196581	19	284	31	9
ENSG00000196584	107	1157.076	131	409
ENSG00000196586	3635.781	5783.391	5458.536	4538.967
ENSG00000196588	2170.5	3443.325	2472.024	2650.4
ENSG00000196589	0	0	0	0
ENSG00000196591	6049.664	8965.444	6042.04	6869.331
ENSG00000196593	3	0	0	0
ENSG00000196597	176.999	347.685	104	147.556
ENSG00000196600	0	1	0	0
ENSG00000196604	0	0	0	0
ENSG00000196605	546.168	510.002	419	374.367
ENSG00000196611	18985.492	50220.849	5103.383	1613.291
ENSG00000196616	3829.02	24	1	1
ENSG00000196620	0	0	0	0
ENSG00000196628	13334.61	10093.95	6066.067	6143.757
ENSG00000196632	76	24	4	58
ENSG00000196636	607	771	341	430
ENSG00000196639	1132.011	2309.147	1172.003	937.17
ENSG00000196642	5277.557	8939.941	5271.525	6059.38
ENSG00000196646	664.661	638	685	437.072
ENSG00000196652	1049	2120.025	1309.489	1355.378
ENSG00000196653	287	418	344	341
ENSG00000196655	2419.414	2932.824	3858.407	4240.779
ENSG00000196656	4592.117	11987.94	5338.491	6863.961
ENSG00000196659	336.056	493.704	204.017	293.861
ENSG00000196660	0	0	0	0
ENSG00000196663	1998.263	3749.969	2498.03	2138.277
ENSG00000196664	0	0	2	0
ENSG00000196666	125	0	0	0
ENSG00000196670	1257.001	1216.027	886.005	903.078
ENSG00000196678	889	2396.152	1161.133	1168.32
ENSG00000196683	8019.417	3857.826	9500.236	6683.647
ENSG00000196684	0	0	6	0
ENSG00000196689	308	280.065	303.866	112.026
ENSG00000196693	894.009	1138.634	855.651	815
ENSG00000196700	3748.031	3773.238	4028.815	3282.848
ENSG00000196704	3416.411	6362.86	4690.477	3803.95
ENSG00000196705	722.001	1109.373	1122	931.018
ENSG00000196711	0	0	0	0
ENSG00000196712	6519.63	7688.739	6381.591	6123.989
ENSG00000196715	4539.613	7553.958	6387.433	5437.101
ENSG00000196724	181.999	255.999	194	210
ENSG00000196730	605.086	299.824	177	1608.004
ENSG00000196734	0	0	0	0
ENSG00000196735	0	0	11	14.999
ENSG00000196739	2108.916	1824.999	2264.038	1642.044
ENSG00000196743	6004.343	3846.016	2505.098	3340.513
ENSG00000196747	0	9	3	1
ENSG00000196748	0	0	0	0
ENSG00000196754	102	184.444	189.539	218
ENSG00000196757	318.013	924.253	725.241	709.736
ENSG00000196767	0	0	0	0
ENSG00000196772	0	0	0	0
ENSG00000196776	7966.015	8327.808	6231.699	7996.072
ENSG00000196778	0	0	0	0
ENSG00000196781	1301.792	2241.823	1476	943.033
ENSG00000196782	466.087	435.41	233	541
ENSG00000196787	88	260	96	83
ENSG00000196792	2253.418	3642	2975.746	3046.286
ENSG00000196793	349	323	251	281.383
ENSG00000196796	0	0	0	0
ENSG00000196800	0	0	0	0
ENSG00000196805	0	0	0	0
ENSG00000196811	0	0	0	0
ENSG00000196812	123	44	48	70
ENSG00000196814	668	556.352	495.001	493
ENSG00000196821	6458.961	8578.705	6530.737	6517.357
ENSG00000196826	31.912	73.044	0	0
ENSG00000196832	0	0	0	0
ENSG00000196834	0	0	0	0
ENSG00000196839	2116	1828.926	652.038	374.11
ENSG00000196843	936.001	1105.993	1305.686	506.092
ENSG00000196844	0	2	3	0
ENSG00000196850	1735.949	3167.504	1844.328	2010.383
ENSG00000196860	4	0	0	1
ENSG00000196862	0	1.234	0	6.051
ENSG00000196865	2285.346	3958.342	2658.675	3009.303
ENSG00000196866	0	0	0	0
